"dataset_id","source_pkg","object","title","k","measure","n_mods","moderators"
"metadat_dat.assink2016","metadat","dat.assink2016","Studies on the Association between Recidivism and Mental Health",100,"from_dataset",3,"year|pubstatus|deltype"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions",48,"from_dataset",11,"year|grade|length|minutes|wic|feedback|info|pers|imag|meta|subject"
"metadat_dat.bcg","metadat","dat.bcg","Studies on the Effectiveness of the BCG Vaccine Against Tuberculosis",13,"RR",3,"year|ablat|alloc"
"metadat_dat.begg1989","metadat","dat.begg1989","Studies on Bone-Marrow Transplantation versus Chemotherapy for the Treatment of Leukemia",20,"from_dataset",2,"trt|arms"
"metadat_dat.berkey1998","metadat","dat.berkey1998","Studies on Treatments for Periodontal Disease",10,"from_dataset",3,"year|v1i|v2i"
"metadat_dat.cohen1981","metadat","dat.cohen1981","Studies on the Relationship between Course Instructor Ratings and Student Achievement",20,"ZCOR",2,"sample|control"
"metadat_dat.colditz1994","metadat","dat.colditz1994","Studies on the Effectiveness of the BCG Vaccine Against Tuberculosis",13,"RR",3,"year|ablat|alloc"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",97,"ZCOR",6,"year|studyid|source|sampleid|criterion|class"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",102,"SMD",13,"paper|genus|species|fungrp|co2ambi|co2elev|units|time|pot|method|stock|xtrt|level"
"metadat_dat.debruin2009","metadat","dat.debruin2009","Studies on Standard Care Quality and HAART-Adherence",13,"PLO",7,"year|scq|mi|ethnicity|patients|select|sens"
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke",37,"from_dataset",7,"year|country|design|cases|or|orlb|orub"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",35,"PLO",9,"authorname|doi|percentolfactoryloss|comments|objectivity|measured|testtype|country|patienttype"
"metadat_dat.hasselblad1998","metadat","dat.hasselblad1998","Studies on the Effectiveness of Counseling for Smoking Cessation",50,"PLO",3,"year|authors|trt"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",67,"from_dataset",5,"year|hrs|ets|homework|type"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",66,"from_dataset",11,"year|authors|task|difficulty|group1|group2|comp|n_sz|n_hc|yi_iq|vi_iq"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",56,"from_dataset",3,"year|district|school"
"metadat_dat.lehmann2018","metadat","dat.lehmann2018","The Effect of Red on Perceived Attractiveness",81,"from_dataset",45,"year|short_title|full_citation|prpublication|source_type|preregistered|gender|color_contrast|color_form|photo_type|photo_similarity|dv_type|dv_items|dv_scale|dv_scalebottom|dv_scaletop|location|continent|participants|participant_notes|design|eth_majority|eth_majority_detail|eth_stim|eth_match|red_age|control_age|color_red|color_control|red_original|color_match|presentation_control|stimuli_presentation|red_n|red_m|red_sd|control_n|control_m|control_sd|sd_diff|rm_r|control_attractiveness|notes|totalsamplesize|pooled"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings",357,"ZCOR",6,"year|article|species|amniotes|environment|reprounit"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",1653,"from_dataset",22,"article|experiment|sample|pairing|stimuli|condition|gen_difficulty|manip_type|present_style|word_status|memory_test|memory_type|gen_constraint|learning_type|stimuli_relation|gen_mode|gen_task|attention|pacing|filler_task|age_grp|retention_delay"
