"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","id_code","total_sample_size","sample_size_control","sample_size_treatment","statistic","value","effect_type","plant_specie","pesticide_effect","precision","abs_yi","source","repo","branch","repo_license"
"gh_CKita_Bees_Effect_sizes_Hedges_continuous_Results_effect_sizes_cont.csv","CKita","Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv","CKita / Bees / Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv",1,-1.01538461538462,0.400473372781065,"from_dataset","C0120",12,6,6,"r",0.481352262,"community","Cajanus cajan","consequences",1.58020407456052,1.01538461538462,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Effect_sizes_Hedges_continuous_Results_effect_sizes_cont.csv","CKita","Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv","CKita / Bees / Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv",2,-1.31764705882353,0.380899653979239,"from_dataset","C0135",15,2,13,"r",0.574456265,"community","Vaccinium corymbosum","consequences",1.62029730978392,1.31764705882353,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Effect_sizes_Hedges_continuous_Results_effect_sizes_cont.csv","CKita","Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv","CKita / Bees / Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv",3,-1.20470588235294,0.354325259515571,"from_dataset","C0135",15,2,13,"r",0.538516481,"community","Vaccinium corymbosum","consequences",1.67996000696445,1.20470588235294,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Effect_sizes_Hedges_continuous_Results_effect_sizes_cont.csv","CKita","Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv","CKita / Bees / Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv",4,-1.17647058823529,0.354325259515571,"from_dataset","C0135",15,2,13,"r",0.529150262,"community","Vaccinium corymbosum","consequences",1.67996000696445,1.17647058823529,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Effect_sizes_Hedges_continuous_Results_effect_sizes_cont.csv","CKita","Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv","CKita / Bees / Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv",5,-1.53,0.59,"from_dataset","C0135",15,2,13,"F",4.58,"community","Vaccinium corymbosum","consequences",1.30188910980824,1.53,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Effect_sizes_Hedges_continuous_Results_effect_sizes_cont.csv","CKita","Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv","CKita / Bees / Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv",6,1.45,0.58,"from_dataset","C0135",15,2,13,"F",4.12,"community","Vaccinium corymbosum","consequences",1.31306432859723,1.45,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Effect_sizes_Hedges_continuous_Results_effect_sizes_cont.csv","CKita","Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv","CKita / Bees / Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv",7,0.77,0.53,"from_dataset","C0135",15,2,13,"F",1.16,"community","Vaccinium corymbosum","consequences",1.37360563948689,0.77,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Effect_sizes_Hedges_continuous_Results_effect_sizes_cont.csv","CKita","Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv","CKita / Bees / Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv",8,-1.99,0.64,"from_dataset","C0135",15,2,13,"F",7.76,"community","Vaccinium corymbosum","consequences",1.25,1.99,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Effect_sizes_Hedges_continuous_Results_effect_sizes_cont.csv","CKita","Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv","CKita / Bees / Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv",9,-2.27,0.68,"from_dataset","C0135",15,2,13,"F",10.08,"community","Vaccinium corymbosum","consequences",1.21267812518166,2.27,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Effect_sizes_Hedges_continuous_Results_effect_sizes_cont.csv","CKita","Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv","CKita / Bees / Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv",10,1,0.54,"from_dataset","C0135",15,2,13,"F",1.95,"community","Vaccinium corymbosum","consequences",1.36082763487954,1,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Effect_sizes_Hedges_continuous_Results_effect_sizes_cont.csv","CKita","Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv","CKita / Bees / Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv",11,0.97,0.54,"from_dataset","C0135",15,2,13,"F",1.83,"community","Vaccinium corymbosum","consequences",1.36082763487954,0.97,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Effect_sizes_Hedges_continuous_Results_effect_sizes_cont.csv","CKita","Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv","CKita / Bees / Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv",12,-1.61,0.6,"from_dataset","C0135",15,2,13,"F",5.06,"community","Vaccinium corymbosum","consequences",1.29099444873581,1.61,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Effect_sizes_Hedges_continuous_Results_effect_sizes_cont.csv","CKita","Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv","CKita / Bees / Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv",13,1.19,0.56,"from_dataset","C0135",15,2,13,"F",2.79,"community","Vaccinium corymbosum","consequences",1.33630620956212,1.19,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Effect_sizes_Hedges_continuous_Results_effect_sizes_cont.csv","CKita","Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv","CKita / Bees / Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv",14,0.3,0.15,"from_dataset","C0142",25,12,13,"F",0.62,"community","Curcubita ssp.","consequences",2.58198889747161,0.3,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Effect_sizes_Hedges_continuous_Results_effect_sizes_cont.csv","CKita","Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv","CKita / Bees / Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv",15,0,0.15,"from_dataset","C0142",25,12,13,"F",0,"community","Curcubita ssp.","consequences",2.58198889747161,0,"GitHub","Bees","main","GPL-3.0"
