"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","x","model","metric","estimate","weight","precision","abs_yi","source","repo","branch","repo_license"
"gh_DylanMG_DL-CC-sockeye_output_CV_elpd_table.csv","DylanMG","output/CV/elpd_table.csv","DylanMG / DL-CC-sockeye / output/CV/elpd_table.csv",1,25954.8550676711,255381525.67958,"estimate",1,"m4b","elpd",25954.8550676711,0.6099,6.25756344259669e-05,25954.8550676711,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_elpd_table.csv","DylanMG","output/CV/elpd_table.csv","DylanMG / DL-CC-sockeye / output/CV/elpd_table.csv",2,-51909.7101353421,1021526102.71832,"estimate",2,"m4b","IC",-51909.7101353421,0.6099,3.12878172129835e-05,51909.7101353421,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_elpd_table.csv","DylanMG","output/CV/elpd_table.csv","DylanMG / DL-CC-sockeye / output/CV/elpd_table.csv",3,25915.218840717,255382065.020225,"estimate",3,"m2b","elpd",25915.218840717,0.3246,6.25755683492813e-05,25915.218840717,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_elpd_table.csv","DylanMG","output/CV/elpd_table.csv","DylanMG / DL-CC-sockeye / output/CV/elpd_table.csv",4,-51830.4376814339,1021528260.0809,"estimate",4,"m2b","IC",-51830.4376814339,0.3246,3.12877841746407e-05,51830.4376814339,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_elpd_table.csv","DylanMG","output/CV/elpd_table.csv","DylanMG / DL-CC-sockeye / output/CV/elpd_table.csv",5,25781.4759742961,255383314.442427,"estimate",5,"m1","elpd",25781.4759742961,0.0654,6.25754152785918e-05,25781.4759742961,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_elpd_table.csv","DylanMG","output/CV/elpd_table.csv","DylanMG / DL-CC-sockeye / output/CV/elpd_table.csv",6,-51562.9519485921,1021533257.76971,"estimate",6,"m1","IC",-51562.9519485921,0.0654,3.12877076392959e-05,51562.9519485921,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_elpd_table.csv","DylanMG","output/CV/elpd_table.csv","DylanMG / DL-CC-sockeye / output/CV/elpd_table.csv",7,25943.7666375685,255381688.187213,"estimate",7,"m4a","elpd",25943.7666375685,1e-04,6.25756145165132e-05,25943.7666375685,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_elpd_table.csv","DylanMG","output/CV/elpd_table.csv","DylanMG / DL-CC-sockeye / output/CV/elpd_table.csv",8,-51887.5332751369,1021526752.74885,"estimate",8,"m4a","IC",-51887.5332751369,1e-04,3.12878072582566e-05,51887.5332751369,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_elpd_table.csv","DylanMG","output/CV/elpd_table.csv","DylanMG / DL-CC-sockeye / output/CV/elpd_table.csv",9,25919.9987963179,255381946.08429,"estimate",9,"m2a","elpd",25919.9987963179,0,6.25755829205597e-05,25919.9987963179,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_elpd_table.csv","DylanMG","output/CV/elpd_table.csv","DylanMG / DL-CC-sockeye / output/CV/elpd_table.csv",10,-51839.9975926359,1021527784.33715,"estimate",10,"m2a","IC",-51839.9975926359,0,3.128779146028e-05,51839.9975926359,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_elpd_table.csv","DylanMG","output/CV/elpd_table.csv","DylanMG / DL-CC-sockeye / output/CV/elpd_table.csv",11,25795.4459523877,255383205.023966,"estimate",11,"m3","elpd",25795.4459523877,0,6.25754286837508e-05,25795.4459523877,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_elpd_table.csv","DylanMG","output/CV/elpd_table.csv","DylanMG / DL-CC-sockeye / output/CV/elpd_table.csv",12,-51590.8919047754,1021532820.09586,"estimate",12,"m3","IC",-51590.8919047754,0,3.12877143418755e-05,51590.8919047754,"GitHub","DL-CC-sockeye","main",NA
