"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","variable","latentclass","estimate","pvalue","proportion","precision","abs_yi","source","repo","branch","repo_license"
"gh_Elenoar12_Adolescent-Well-Being-in-Flux_data_LPA_Italy_italy_c4.csv","Elenoar12","data/LPA/Italy/italy_c4.csv","Elenoar12 / Adolescent-Well-Being-in-Flux / data/LPA/Italy/italy_c4.csv",1,0.058,0.001024,"estimate","Physical Inactivity",1,0.058,0.065,4.7,31.25,0.058,"GitHub","Adolescent-Well-Being-in-Flux","main",NA
"gh_Elenoar12_Adolescent-Well-Being-in-Flux_data_LPA_Italy_italy_c4.csv","Elenoar12","data/LPA/Italy/italy_c4.csv","Elenoar12 / Adolescent-Well-Being-in-Flux / data/LPA/Italy/italy_c4.csv",2,0.147,0.001156,"estimate","Sleep Problems",1,0.147,0,4.7,29.4117647058824,0.147,"GitHub","Adolescent-Well-Being-in-Flux","main",NA
"gh_Elenoar12_Adolescent-Well-Being-in-Flux_data_LPA_Italy_italy_c4.csv","Elenoar12","data/LPA/Italy/italy_c4.csv","Elenoar12 / Adolescent-Well-Being-in-Flux / data/LPA/Italy/italy_c4.csv",3,0.078,0.001024,"estimate","Undietary Behavior",1,0.078,0.014,4.7,31.25,0.078,"GitHub","Adolescent-Well-Being-in-Flux","main",NA
"gh_Elenoar12_Adolescent-Well-Being-in-Flux_data_LPA_Italy_italy_c4.csv","Elenoar12","data/LPA/Italy/italy_c4.csv","Elenoar12 / Adolescent-Well-Being-in-Flux / data/LPA/Italy/italy_c4.csv",4,0.868,6.4e-05,"estimate","Smoking",1,0.868,0,4.7,125,0.868,"GitHub","Adolescent-Well-Being-in-Flux","main",NA
"gh_Elenoar12_Adolescent-Well-Being-in-Flux_data_LPA_Italy_italy_c4.csv","Elenoar12","data/LPA/Italy/italy_c4.csv","Elenoar12 / Adolescent-Well-Being-in-Flux / data/LPA/Italy/italy_c4.csv",5,0.676,0.001225,"estimate","Alcohol",1,0.676,0,4.7,28.5714285714286,0.676,"GitHub","Adolescent-Well-Being-in-Flux","main",NA
"gh_Elenoar12_Adolescent-Well-Being-in-Flux_data_LPA_Italy_italy_c4.csv","Elenoar12","data/LPA/Italy/italy_c4.csv","Elenoar12 / Adolescent-Well-Being-in-Flux / data/LPA/Italy/italy_c4.csv",6,-0.022,4.9e-05,"estimate","Physical Inactivity",2,-0.022,0.003,86.7,142.857142857143,0.022,"GitHub","Adolescent-Well-Being-in-Flux","main",NA
"gh_Elenoar12_Adolescent-Well-Being-in-Flux_data_LPA_Italy_italy_c4.csv","Elenoar12","data/LPA/Italy/italy_c4.csv","Elenoar12 / Adolescent-Well-Being-in-Flux / data/LPA/Italy/italy_c4.csv",7,-0.033,4.9e-05,"estimate","Sleep Problems",2,-0.033,0,86.7,142.857142857143,0.033,"GitHub","Adolescent-Well-Being-in-Flux","main",NA
"gh_Elenoar12_Adolescent-Well-Being-in-Flux_data_LPA_Italy_italy_c4.csv","Elenoar12","data/LPA/Italy/italy_c4.csv","Elenoar12 / Adolescent-Well-Being-in-Flux / data/LPA/Italy/italy_c4.csv",8,-0.032,4.9e-05,"estimate","Undietary Behavior",2,-0.032,0,86.7,142.857142857143,0.032,"GitHub","Adolescent-Well-Being-in-Flux","main",NA
"gh_Elenoar12_Adolescent-Well-Being-in-Flux_data_LPA_Italy_italy_c4.csv","Elenoar12","data/LPA/Italy/italy_c4.csv","Elenoar12 / Adolescent-Well-Being-in-Flux / data/LPA/Italy/italy_c4.csv",9,-0.353,0,"estimate","Smoking",2,-0.353,0,86.7,NA,0.353,"GitHub","Adolescent-Well-Being-in-Flux","main",NA
"gh_Elenoar12_Adolescent-Well-Being-in-Flux_data_LPA_Italy_italy_c4.csv","Elenoar12","data/LPA/Italy/italy_c4.csv","Elenoar12 / Adolescent-Well-Being-in-Flux / data/LPA/Italy/italy_c4.csv",10,-0.148,4.9e-05,"estimate","Alcohol",2,-0.148,0,86.7,142.857142857143,0.148,"GitHub","Adolescent-Well-Being-in-Flux","main",NA
