"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","timepoint","response","predictor","estimate","df","t","p","etasq","precision","abs_yi","source","repo","branch","repo_license"
"gh_eelabfiu_Bonaire_memory_Tables_TableS6_Performance_LM_Results.csv","eelabfiu","Tables/TableS6_Performance_LM_Results.csv","eelabfiu / Bonaire_memory / Tables/TableS6_Performance_LM_Results.csv",1,-0.008,0.000441,"estimate","TP1_2","Growth","Origin",-0.008,114,-0.359,0.721,0.024,47.6190476190476,0.008,"GitHub","Bonaire_memory","main",NA
"gh_eelabfiu_Bonaire_memory_Tables_TableS6_Performance_LM_Results.csv","eelabfiu","Tables/TableS6_Performance_LM_Results.csv","eelabfiu / Bonaire_memory / Tables/TableS6_Performance_LM_Results.csv",2,0.062,0.000441,"estimate","TP1_2","Growth","Site",0.062,114,2.953,0.004,0.073,47.6190476190476,0.062,"GitHub","Bonaire_memory","main",NA
"gh_eelabfiu_Bonaire_memory_Tables_TableS6_Performance_LM_Results.csv","eelabfiu","Tables/TableS6_Performance_LM_Results.csv","eelabfiu / Bonaire_memory / Tables/TableS6_Performance_LM_Results.csv",3,-0.035,9e-04,"estimate","TP1_2","Growth","Origin x Site",-0.035,114,-1.183,0.239,0.012,33.3333333333333,0.035,"GitHub","Bonaire_memory","main",NA
"gh_eelabfiu_Bonaire_memory_Tables_TableS6_Performance_LM_Results.csv","eelabfiu","Tables/TableS6_Performance_LM_Results.csv","eelabfiu / Bonaire_memory / Tables/TableS6_Performance_LM_Results.csv",4,-0.028,0.000169,"estimate","TP3_4","Growth","Origin",-0.028,114,-2.172,0.032,0.001,76.9230769230769,0.028,"GitHub","Bonaire_memory","main",NA
"gh_eelabfiu_Bonaire_memory_Tables_TableS6_Performance_LM_Results.csv","eelabfiu","Tables/TableS6_Performance_LM_Results.csv","eelabfiu / Bonaire_memory / Tables/TableS6_Performance_LM_Results.csv",5,-0.059,0.000169,"estimate","TP3_4","Growth","Site",-0.059,114,-4.479,0,0.071,76.9230769230769,0.059,"GitHub","Bonaire_memory","main",NA
"gh_eelabfiu_Bonaire_memory_Tables_TableS6_Performance_LM_Results.csv","eelabfiu","Tables/TableS6_Performance_LM_Results.csv","eelabfiu / Bonaire_memory / Tables/TableS6_Performance_LM_Results.csv",6,0.063,0.000361,"estimate","TP3_4","Growth","Origin x Site",0.063,114,3.392,0.001,0.092,52.6315789473684,0.063,"GitHub","Bonaire_memory","main",NA
"gh_eelabfiu_Bonaire_memory_Tables_TableS6_Performance_LM_Results.csv","eelabfiu","Tables/TableS6_Performance_LM_Results.csv","eelabfiu / Bonaire_memory / Tables/TableS6_Performance_LM_Results.csv",7,0.068,0.001024,"estimate","TP1","FvFm Retention","Origin",0.068,42,2.117,0.04,0.036,31.25,0.068,"GitHub","Bonaire_memory","main",NA
"gh_eelabfiu_Bonaire_memory_Tables_TableS6_Performance_LM_Results.csv","eelabfiu","Tables/TableS6_Performance_LM_Results.csv","eelabfiu / Bonaire_memory / Tables/TableS6_Performance_LM_Results.csv",8,-0.013,0.001024,"estimate","TP1","FvFm Retention","Site",-0.013,42,-0.397,0.694,0.112,31.25,0.013,"GitHub","Bonaire_memory","main",NA
"gh_eelabfiu_Bonaire_memory_Tables_TableS6_Performance_LM_Results.csv","eelabfiu","Tables/TableS6_Performance_LM_Results.csv","eelabfiu / Bonaire_memory / Tables/TableS6_Performance_LM_Results.csv",9,-0.079,0.002116,"estimate","TP1","FvFm Retention","Origin x Site",-0.079,42,-1.745,0.088,0.068,21.7391304347826,0.079,"GitHub","Bonaire_memory","main",NA
"gh_eelabfiu_Bonaire_memory_Tables_TableS6_Performance_LM_Results.csv","eelabfiu","Tables/TableS6_Performance_LM_Results.csv","eelabfiu / Bonaire_memory / Tables/TableS6_Performance_LM_Results.csv",10,0.145,0.006241,"estimate","TP1","Symbiont Retention","Origin",0.145,42,1.842,0.073,0.035,12.6582278481013,0.145,"GitHub","Bonaire_memory","main",NA
