"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","x","estimate","ci_025","ci_975","sig95","precision","abs_yi","source","repo","branch","repo_license"
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",1,1.74,4.4521,"estimate","speciesquercusAgrifoli",1.74,-1.91,5.69," ",0.4739336492891,1.74,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",2,0.936,1.8496,"estimate","speciesquercusChrysole",0.936,-1.66,3.61," ",0.735294117647059,0.936,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",3,1.96,0.1764,"estimate","speciesquercusKelloggi",1.96,1.11,2.74,"*",2.38095238095238,1.96,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",4,0,0,"estimate","speciesquercusAgrifoli:diam",0,0,0," ",NA,0,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",5,0.0963,0.00179776,"estimate","speciesquercusChrysole:diam",0.0963,0.00834,0.18,"*",23.5849056603774,0.0963,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",6,0.0693,0.000256,"estimate","speciesquercusKelloggi:diam",0.0693,0.0394,0.0986,"*",62.5,0.0693,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",7,0.000334,9.1809e-10,"estimate","speciesquercusAgrifoli:I(diam^2)",0.000334,0.000271,0.000389,"*",33003.300330033,0.000334,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",8,-0.000372,9.94009e-09,"estimate","speciesquercusChrysole:I(diam^2)",-0.000372,-0.000584,-0.000193,"*",10030.0902708124,0.000372,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",9,-0.00093,2.1025e-08,"estimate","speciesquercusKelloggi:I(diam^2)",-0.00093,-0.0012,-0.000651,"*",6896.55172413793,0.00093,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",10,0.389,0.1681,"estimate","speciesquercusAgrifoli:shade",0.389,-0.369,1.11," ",2.4390243902439,0.389,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",11,-0.288,0.032761,"estimate","speciesquercusChrysole:shade",-0.288,-0.633,0.0736," ",5.52486187845304,0.288,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",12,-0.276,0.00343396,"estimate","speciesquercusKelloggi:shade",-0.276,-0.393,-0.163,"*",17.0648464163823,0.276,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",13,0,0,"estimate","speciesquercusAgrifoli:ppt_budInit",0,0,0," ",NA,0,"GitHub","FecundityShinyApp","main",NA
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv",14,0.00165,4.17316e-07,"estimate","speciesquercusChrysole:ppt_budInit",0.00165,0.000339,0.00286,"*",1547.98761609907,0.00165,"GitHub","FecundityShinyApp","main",NA
