"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","x","lhs","op","rhs","est","confint","est_sig","est_std","se_std","confint_std","est_sig_std","label","precision","abs_yi","source","repo","branch","repo_license"
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_uniDfit_paramEsts.csv","lhbikos","Worked_Examples/uniDfit_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/uniDfit_paramEsts.csv",1,1,0,"est",1,"CourseEvals","=~","ValObjectives",1,"[1.000, 1.000]","1.000",0.515,0.047,"[0.422, 0.607]","0.515***","CourseEvals.BY.ValObjectives",NA,1,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_uniDfit_paramEsts.csv","lhbikos","Worked_Examples/uniDfit_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/uniDfit_paramEsts.csv",2,1.715,0.049729,"est",2,"CourseEvals","=~","IncrUnderstanding",1.715,"[1.278, 2.153]","1.715***",0.642,0.038,"[0.567, 0.717]","0.642***","CourseEvals.BY.IncrUnderstanding",4.48430493273543,1.715,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_uniDfit_paramEsts.csv","lhbikos","Worked_Examples/uniDfit_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/uniDfit_paramEsts.csv",3,2.142,0.072361,"est",3,"CourseEvals","=~","IncrInterest",2.142,"[1.615, 2.668]","2.142***",0.685,0.035,"[0.617, 0.754]","0.685***","CourseEvals.BY.IncrInterest",3.71747211895911,2.142,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_uniDfit_paramEsts.csv","lhbikos","Worked_Examples/uniDfit_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/uniDfit_paramEsts.csv",4,2.065,0.057121,"est",4,"CourseEvals","=~","ClearResponsibilities",2.065,"[1.597, 2.533]","2.065***",0.808,0.024,"[0.761, 0.854]","0.808***","CourseEvals.BY.ClearResponsibilities",4.18410041841004,2.065,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_uniDfit_paramEsts.csv","lhbikos","Worked_Examples/uniDfit_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/uniDfit_paramEsts.csv",5,2.105,0.059536,"est",5,"CourseEvals","=~","EffectiveAnswers",2.105,"[1.626, 2.584]","2.105***",0.8,0.025,"[0.752, 0.849]","0.800***","CourseEvals.BY.EffectiveAnswers",4.0983606557377,2.105,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_uniDfit_paramEsts.csv","lhbikos","Worked_Examples/uniDfit_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/uniDfit_paramEsts.csv",6,2.143,0.067081,"est",6,"CourseEvals","=~","Feedback",2.143,"[1.636, 2.650]","2.143***",0.738,0.03,"[0.679, 0.797]","0.738***","CourseEvals.BY.Feedback",3.86100386100386,2.143,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_uniDfit_paramEsts.csv","lhbikos","Worked_Examples/uniDfit_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/uniDfit_paramEsts.csv",7,2.678,0.098596,"est",7,"CourseEvals","=~","ClearOrganization",2.678,"[2.061, 3.294]","2.678***",0.78,0.026,"[0.729, 0.832]","0.780***","CourseEvals.BY.ClearOrganization",3.18471337579618,2.678,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_uniDfit_paramEsts.csv","lhbikos","Worked_Examples/uniDfit_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/uniDfit_paramEsts.csv",8,2.521,0.081225,"est",8,"CourseEvals","=~","ClearPresentation",2.521,"[1.962, 3.081]","2.521***",0.846,0.02,"[0.806, 0.885]","0.846***","CourseEvals.BY.ClearPresentation",3.50877192982456,2.521,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_uniDfit_paramEsts.csv","lhbikos","Worked_Examples/uniDfit_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/uniDfit_paramEsts.csv",9,2.067,0.060516,"est",9,"CourseEvals","=~","MultPerspectives",2.067,"[1.584, 2.549]","2.067***",0.757,0.029,"[0.701, 0.813]","0.757***","CourseEvals.BY.MultPerspectives",4.0650406504065,2.067,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_uniDfit_paramEsts.csv","lhbikos","Worked_Examples/uniDfit_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/uniDfit_paramEsts.csv",10,1.246,0.0289,"est",10,"CourseEvals","=~","InclusvClassrm",1.246,"[0.913, 1.580]","1.246***",0.592,0.042,"[0.510, 0.675]","0.592***","CourseEvals.BY.InclusvClassrm",5.88235294117647,1.246,"GitHub","ReC_Psychometrics","main",NA
