"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","x1","x","result_id","type","d1j","d1t","d1d","d2j","d2t","d2d","d3j","d3t","d3d","d4j","d4t","d4d","d5j","d5t","d5d","d6j","d6t","d6d","d7t","d7d","overall","precision","abs_yi","source","repo","branch","repo_license"
"gh_mcguinlu_robvis_data_raw_bias_direction.csv","mcguinlu","data_raw/bias_direction.csv","mcguinlu / robvis / data_raw/bias_direction.csv",1,-0.127833372,0.125065861815403,"from_dataset",1,1,1,"NRSI","High","Add","Favours comparator","Low","None","None","Moderate","Prop","Unpredictable","Low","None","None","Low","None","None","Low","None","None","Prop","Away from null","Moderate",2.82768227769446,0.127833372,"GitHub","robvis","main","NOASSERTION"
"gh_mcguinlu_robvis_data_raw_bias_direction.csv","mcguinlu","data_raw/bias_direction.csv","mcguinlu / robvis / data_raw/bias_direction.csv",2,-0.198450939,0.0868091857062482,"from_dataset",2,2,2,"NRSI","Moderate","Add","Favours experimental","Moderate","Add","Favours comparator","Low","None","None","Low","None","None","Low","None","None","Moderate","Add","Unpredictable","Prop","Away from null","Moderate",3.39404158215475,0.198450939,"GitHub","robvis","main","NOASSERTION"
"gh_mcguinlu_robvis_data_raw_bias_direction.csv","mcguinlu","data_raw/bias_direction.csv","mcguinlu / robvis / data_raw/bias_direction.csv",3,-0.186329578,0.0336124035013122,"from_dataset",3,3,3,"NRSI","High","Add","Favours comparator","High","Add","Favours comparator","Low","None","None","Low","None","None","Low","None","None","Moderate","Add","Unpredictable","Prop","Away from null","Moderate",5.45444059044581,0.186329578,"GitHub","robvis","main","NOASSERTION"
"gh_mcguinlu_robvis_data_raw_bias_direction.csv","mcguinlu","data_raw/bias_direction.csv","mcguinlu / robvis / data_raw/bias_direction.csv",4,0.19062036,0.0552657833167771,"from_dataset",4,4,4,"NRSI","High","Add","Favours comparator","Moderate","Add","Unpredictable","Low","None","None","Low","None","None","Low","None","None","Low","None","None","Prop","Away from null","High",4.25374875540097,0.19062036,"GitHub","robvis","main","NOASSERTION"
"gh_mcguinlu_robvis_data_raw_bias_direction.csv","mcguinlu","data_raw/bias_direction.csv","mcguinlu / robvis / data_raw/bias_direction.csv",5,-0.562118918,0.0514192363691262,"from_dataset",5,5,5,"NRSI","High","Add","Favours comparator","Low","None","None","Low","None","None","Low","None","None","Moderate","Prop","Unpredictable","Low","None","None","Prop","Away from null","Low",4.40998577598778,0.562118918,"GitHub","robvis","main","NOASSERTION"
"gh_mcguinlu_robvis_data_raw_bias_direction.csv","mcguinlu","data_raw/bias_direction.csv","mcguinlu / robvis / data_raw/bias_direction.csv",6,-0.094310679,0.0696982192016652,"from_dataset",6,6,6,"NRSI","High","Add","Favours comparator","Moderate","Add","Favours comparator","Low","None","None","Low","None","None","Moderate","Prop","Unpredictable","Low","None","None","Prop","Away from null","Low",3.78781848408679,0.094310679,"GitHub","robvis","main","NOASSERTION"
"gh_mcguinlu_robvis_data_raw_bias_direction.csv","mcguinlu","data_raw/bias_direction.csv","mcguinlu / robvis / data_raw/bias_direction.csv",7,-0.776528789,0.057107497776006,"from_dataset",7,7,7,"NRSI","Moderate","Add","Favours experimental","Low","None","None","Moderate","Prop","Unpredictable","Low","None","None","High","Prop","Unpredictable","Low","None","None","Prop","Away from null","Moderate",4.18459502353481,0.776528789,"GitHub","robvis","main","NOASSERTION"
"gh_mcguinlu_robvis_data_raw_bias_direction.csv","mcguinlu","data_raw/bias_direction.csv","mcguinlu / robvis / data_raw/bias_direction.csv",8,-0.061875404,0.0160767067709541,"from_dataset",8,8,8,"NRSE","Moderate","Add","Favours comparator","Low","None","None","Low","None","None","Low","None","None","Moderate","Prop","Unpredictable","Low","None","None","Prop","Away from null","Moderate",7.88681138534414,0.061875404,"GitHub","robvis","main","NOASSERTION"
"gh_mcguinlu_robvis_data_raw_bias_direction.csv","mcguinlu","data_raw/bias_direction.csv","mcguinlu / robvis / data_raw/bias_direction.csv",9,0.019802627,0.0225955798907006,"from_dataset",9,9,9,"NRSE","Moderate","Add","Favours comparator","Low","None","None","Low","None","None","Low","None","None","Moderate","Prop","Unpredictable","Low","None","None","Prop","Away from null","Moderate",6.65255163740518,0.019802627,"GitHub","robvis","main","NOASSERTION"
"gh_mcguinlu_robvis_data_raw_bias_direction.csv","mcguinlu","data_raw/bias_direction.csv","mcguinlu / robvis / data_raw/bias_direction.csv",10,-0.105360516,0.0327033580531272,"from_dataset",10,10,10,"NRSE","Moderate","Add","Favours comparator","Low","None","None","Low","None","None","Low","None","None","Moderate","Prop","Unpredictable","Low","None","None","Prop","Away from null","Moderate",5.52972871184118,0.105360516,"GitHub","robvis","main","NOASSERTION"
"gh_mcguinlu_robvis_data_raw_bias_direction.csv","mcguinlu","data_raw/bias_direction.csv","mcguinlu / robvis / data_raw/bias_direction.csv",11,0.067658648,0.00204355793442144,"from_dataset",11,11,11,"MR","Moderate","Prop","Unpredictable","Low","None","None","Low","None","None","Low","None","None","Low","None","None",NA,"None","None","None","None","Low",22.1210900060919,0.067658648,"GitHub","robvis","main","NOASSERTION"
"gh_mcguinlu_robvis_data_raw_bias_direction.csv","mcguinlu","data_raw/bias_direction.csv","mcguinlu / robvis / data_raw/bias_direction.csv",12,-0.478035801,0.0510657988694049,"from_dataset",12,12,12,"NRSI","High","Add","Favours comparator","Moderate","Add","Favours comparator","Low","None","None","Low","None","None","Moderate","Prop","Unpredictable","Low","None","None","Prop","Away from null","High",4.42522069571284,0.478035801,"GitHub","robvis","main","NOASSERTION"
"gh_mcguinlu_robvis_data_raw_bias_direction.csv","mcguinlu","data_raw/bias_direction.csv","mcguinlu / robvis / data_raw/bias_direction.csv",13,0.113328685,0.00204930282263908,"from_dataset",13,13,13,"NRSE","High","Add","Favours experimental","Moderate","Add","Unpredictable","Low","None","None","Low","None","None","Low","None","None","Low","None","None","Prop","Away from null","Low",22.0900618004823,0.113328685,"GitHub","robvis","main","NOASSERTION"
"gh_mcguinlu_robvis_data_raw_bias_direction.csv","mcguinlu","data_raw/bias_direction.csv","mcguinlu / robvis / data_raw/bias_direction.csv",14,0.173953307,0.296639007153852,"from_dataset",14,14,14,"NRSI","High","Add","Favours comparator","Moderate","Add","Unpredictable","Low","None","None","Low","None","None","High","Prop","Unpredictable","Low","None","None","Prop","Away from null","Moderate",1.83605577778083,0.173953307,"GitHub","robvis","main","NOASSERTION"
"gh_mcguinlu_robvis_data_raw_bias_direction.csv","mcguinlu","data_raw/bias_direction.csv","mcguinlu / robvis / data_raw/bias_direction.csv",15,-0.210721031,0.0668399873789016,"from_dataset",15,15,15,"NRSI","Moderate","Add","Favours comparator","Low","None","None","Low","None","None","Low","None","None","Low","None","None","Moderate","Add","Unpredictable","Prop","Away from null","Low",3.86795862983074,0.210721031,"GitHub","robvis","main","NOASSERTION"
"gh_mcguinlu_robvis_data_raw_bias_direction.csv","mcguinlu","data_raw/bias_direction.csv","mcguinlu / robvis / data_raw/bias_direction.csv",16,-0.116533816,0.0312664652770276,"from_dataset",16,16,16,"NRSE","High","Add","Favours comparator","Low","None","None","Low","None","None","Low","None","None","Low","None","None","Low","None","None","Prop","Away from null","Moderate",5.65536457138048,0.116533816,"GitHub","robvis","main","NOASSERTION"
"gh_mcguinlu_robvis_data_raw_bias_direction.csv","mcguinlu","data_raw/bias_direction.csv","mcguinlu / robvis / data_raw/bias_direction.csv",17,-0.204,0.053824,"from_dataset",17,17,17,"MR","Moderate","Prop","Towards null","Moderate","Add","Unpredictable","Low","None","None","Moderate","Add","Unpredictable","Moderate","Prop","Unpredictable",NA,"None","None","None","None","Low",4.31034482758621,0.204,"GitHub","robvis","main","NOASSERTION"
"gh_mcguinlu_robvis_data_raw_bias_direction.csv","mcguinlu","data_raw/bias_direction.csv","mcguinlu / robvis / data_raw/bias_direction.csv",18,0.157003749,0.0369749537621256,"from_dataset",18,18,18,"NRSI","Moderate","Add","Favours comparator","Moderate","Add","Unpredictable","Low","None","None","Low","None","None","Low","None","None","Low","None","None","Prop","Away from null","High",5.20051292658995,0.157003749,"GitHub","robvis","main","NOASSERTION"
"gh_mcguinlu_robvis_data_raw_bias_direction.csv","mcguinlu","data_raw/bias_direction.csv","mcguinlu / robvis / data_raw/bias_direction.csv",19,0.086177696,0.0607008135803732,"from_dataset",19,19,19,"NRSI","Moderate","Add","Favours comparator","Moderate","Add","Unpredictable","Low","None","None","Low","None","None","Low","None","None","Low","None","None","Prop","Away from null","Moderate",4.05884759145407,0.086177696,"GitHub","robvis","main","NOASSERTION"
"gh_mcguinlu_robvis_data_raw_bias_direction.csv","mcguinlu","data_raw/bias_direction.csv","mcguinlu / robvis / data_raw/bias_direction.csv",20,-0.527,0.190969,"from_dataset",20,20,20,"RCT","Low","None","None","Low","None","None","Low","None","None","Moderate","Add","Unpredictable","Moderate","Add","Unpredictable",NA,"None","None","None","None","Low",2.2883295194508,0.527,"GitHub","robvis","main","NOASSERTION"
