"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","indicator","pop_size","pop_label","method","method_type","estimate","ci_lower","ci_upper","uncertainty_method","indicator_clean","method_clean","uncertainty_clean","estimate_pct","ci_lower_pct","ci_upper_pct","se_pct","estimate_with_ci","analysis_source","source","population_size","parameter_type","iterations","m1","m2","parameter_description","seed_selection","combination_id","sensitivity_combo","pop_group","method_category","param_group","ci_width","precision","abs_yi","repo","branch","repo_license"
"gh_smoser11_DWeMSinUK_output_tables_unified_results.csv","smoser11","output/tables/unified_results.csv","smoser11 / DWeMSinUK / output/tables/unified_results.csv",1,0.494048070335575,0.00622774674455061,"estimate","document_withholding_rds",50000,"50K","RDS_I","frequentist",0.494048070335575,0.255258809430467,0.562356764353552,"neighb_bootstrap","Document withholding","RDS-I","Bootstrap",49.4048070335575,25.5258809430467,56.2356764353552,7.89160740568777,"49.4% (25.5–56.2)","06a_frequentist","GitHub",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conservative","Frequentist RDS","standard",30.7097954923085,12.6716896646336,0.494048070335575,"DWeMSinUK","main",NA
"gh_smoser11_DWeMSinUK_output_tables_unified_results.csv","smoser11","output/tables/unified_results.csv","smoser11 / DWeMSinUK / output/tables/unified_results.csv",2,0.494048070335575,0.00619104925203199,"estimate","document_withholding_rds",1e+05,"100K","RDS_I","frequentist",0.494048070335575,0.251791877059517,0.558811965435925,"neighb_bootstrap","Document withholding","RDS-I","Bootstrap",49.4048070335575,25.1791877059517,55.8811965435925,7.86832209052984,"49.4% (25.2–55.9)","06a_frequentist","GitHub",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conservative","Frequentist RDS","standard",30.7020088376408,12.7091899453834,0.494048070335575,"DWeMSinUK","main",NA
"gh_smoser11_DWeMSinUK_output_tables_unified_results.csv","smoser11","output/tables/unified_results.csv","smoser11 / DWeMSinUK / output/tables/unified_results.csv",3,0.494048070335575,0.00620672541869871,"estimate","document_withholding_rds",980000,"980K","RDS_I","frequentist",0.494048070335575,0.252957485683287,0.563253453348433,"neighb_bootstrap","Document withholding","RDS-I","Bootstrap",49.4048070335575,25.2957485683287,56.3253453348433,7.87827736164367,"49.4% (25.3–56.3)","06a_frequentist","GitHub",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baseline","Frequentist RDS","standard",31.0295967665146,12.6931301615328,0.494048070335575,"DWeMSinUK","main",NA
"gh_smoser11_DWeMSinUK_output_tables_unified_results.csv","smoser11","output/tables/unified_results.csv","smoser11 / DWeMSinUK / output/tables/unified_results.csv",4,0.494048070335575,0.00630207044315346,"estimate","document_withholding_rds",1740000,"1.74M","RDS_I","frequentist",0.494048070335575,0.254426611914905,0.561257209289505,"neighb_bootstrap","Document withholding","RDS-I","Bootstrap",49.4048070335575,25.4426611914905,56.1257209289505,7.9385580826454,"49.4% (25.4–56.1)","06a_frequentist","GitHub",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Liberal","Frequentist RDS","standard",30.68305973746,12.5967460285529,0.494048070335575,"DWeMSinUK","main",NA
"gh_smoser11_DWeMSinUK_output_tables_unified_results.csv","smoser11","output/tables/unified_results.csv","smoser11 / DWeMSinUK / output/tables/unified_results.csv",5,0.342444965586162,0.0061422275709501,"estimate","document_withholding_rds",50000,"50K","RDS_II","frequentist",0.342444965586162,0.254930908167349,0.563398301872051,"neighb_bootstrap","Document withholding","RDS-I","Bootstrap",34.2444965586162,25.4930908167349,56.3398301872051,7.83723648421438,"34.2% (25.5–56.3)","06a_frequentist","GitHub",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conservative","Frequentist RDS","standard",30.8467393704703,12.7595996626385,0.342444965586162,"DWeMSinUK","main",NA
"gh_smoser11_DWeMSinUK_output_tables_unified_results.csv","smoser11","output/tables/unified_results.csv","smoser11 / DWeMSinUK / output/tables/unified_results.csv",6,0.342444965586162,0.00612537857722959,"estimate","document_withholding_rds",1e+05,"100K","RDS_II","frequentist",0.342444965586162,0.253412593726998,0.562123354168099,"neighb_bootstrap","Document withholding","RDS-I","Bootstrap",34.2444965586162,25.3412593726998,56.2123354168099,7.82647978163209,"34.2% (25.3–56.2)","06a_frequentist","GitHub",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conservative","Frequentist RDS","standard",30.8710760441101,12.7771364381071,0.342444965586162,"DWeMSinUK","main",NA
"gh_smoser11_DWeMSinUK_output_tables_unified_results.csv","smoser11","output/tables/unified_results.csv","smoser11 / DWeMSinUK / output/tables/unified_results.csv",7,0.342444965586162,0.00651017290977738,"estimate","document_withholding_rds",980000,"980K","RDS_II","frequentist",0.342444965586162,0.246905401247225,0.562719576809549,"neighb_bootstrap","Document withholding","RDS-I","Bootstrap",34.2444965586162,24.6905401247225,56.2719576809549,8.06856425256525,"34.2% (24.7–56.3)","06a_frequentist","GitHub",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baseline","Frequentist RDS","standard",31.5814175562325,12.3937787281308,0.342444965586162,"DWeMSinUK","main",NA
"gh_smoser11_DWeMSinUK_output_tables_unified_results.csv","smoser11","output/tables/unified_results.csv","smoser11 / DWeMSinUK / output/tables/unified_results.csv",8,0.342444965586162,0.0061811677229264,"estimate","document_withholding_rds",1740000,"1.74M","RDS_II","frequentist",0.342444965586162,0.254454897596207,0.564827069987299,"neighb_bootstrap","Document withholding","RDS-I","Bootstrap",34.2444965586162,25.4454897596207,56.4827069987299,7.86204027140945,"34.2% (25.4–56.5)","06a_frequentist","GitHub",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Liberal","Frequentist RDS","standard",31.0372172391092,12.7193446672682,0.342444965586162,"DWeMSinUK","main",NA
"gh_smoser11_DWeMSinUK_output_tables_unified_results.csv","smoser11","output/tables/unified_results.csv","smoser11 / DWeMSinUK / output/tables/unified_results.csv",9,0.342444965586162,0.00598772738130251,"estimate","document_withholding_rds",50000,"50K","RDS_SS","frequentist",0.342444965586162,0.255651265752607,0.562120121169732,"neighb_bootstrap","Document withholding","RDS-SS","Bootstrap",34.2444965586162,25.5651265752607,56.2120121169732,7.73804069600471,"34.2% (25.6–56.2)","06a_frequentist","GitHub",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conservative","Frequentist RDS","standard",30.6468855417125,12.9231680122375,0.342444965586162,"DWeMSinUK","main",NA
"gh_smoser11_DWeMSinUK_output_tables_unified_results.csv","smoser11","output/tables/unified_results.csv","smoser11 / DWeMSinUK / output/tables/unified_results.csv",10,0.342444965586162,0.00652029222334878,"estimate","document_withholding_rds",1e+05,"100K","RDS_SS","frequentist",0.342444965586162,0.251491869855067,0.565191105386197,"neighb_bootstrap","Document withholding","RDS-SS","Bootstrap",34.2444965586162,25.1491869855067,56.5191105386197,8.07483264430216,"34.2% (25.1–56.5)","06a_frequentist","GitHub",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conservative","Frequentist RDS","standard",31.369923553113,12.3841575924874,0.342444965586162,"DWeMSinUK","main",NA
