"dataset_id","source_pkg","object","title","slab","yi","vi","measure","year","grade","length","minutes","wic","feedback","info","pers","imag","meta","subject"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Ashworth 1992",0.65,0.07,"from_dataset",1992,4,15,NA,1,1,1,1,0,1,"Nursing"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Ayers 1993",-0.75,0.126,"from_dataset",1993,2,10,NA,1,NA,1,1,1,0,"Earth Science"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Baisch 1990",-0.21,0.042,"from_dataset",1990,2,2,NA,1,0,1,1,0,1,"Math"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Baker 1994",-0.04,0.019,"from_dataset",1994,4,9,10,1,1,1,0,0,0,"Algebra"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Bauman 1992",0.23,0.022,"from_dataset",1992,1,14,10,1,1,1,1,0,1,"Math"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Becker 1996",0.03,0.009,"from_dataset",1996,4,1,20,1,0,0,1,0,0,"Literature"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Bell & Bell 1985",0.26,0.106,"from_dataset",1985,3,4,NA,1,1,1,1,0,1,"Math"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Brodney 1994",0.06,0.007,"from_dataset",1994,1,15,NA,1,1,1,1,0,1,"Math"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Burton 1986",0.06,0.04,"from_dataset",1986,4,4,NA,0,1,1,0,0,0,"Math"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Davis, BH 1990",0.12,0.052,"from_dataset",1990,1,9,10,1,0,1,1,0,0,"Social Studies"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Davis, JJ 1996",0.77,0.107,"from_dataset",1996,4,15,NA,0,1,1,0,0,0,"Statistics"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Day 1994",0,0.021,"from_dataset",1994,4,15,NA,0,1,1,1,0,1,"Sociology"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Dipillo 1994",0.52,0.037,"from_dataset",1994,1,8,6,1,1,1,1,0,1,"Math"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Ganguli 1989",0.54,0.083,"from_dataset",1989,4,4,4,1,0,1,0,0,0,"Math"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Giovinazzo 1996",0.2,0.086,"from_dataset",1996,4,14,NA,0,1,1,0,0,0,"Algebra"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Goss 1998",0.2,0.091,"from_dataset",1998,4,15,10,1,1,1,0,0,0,"Calculus"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Greene et al. 1991",-0.16,0.167,"from_dataset",1991,4,4,10,1,1,1,1,0,0,"Comp Science and Chemistry"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Guckin 1992",0.42,0.052,"from_dataset",1992,4,10,8,1,1,NA,NA,0,NA,"Algebra"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Guckin 1992",0.6,0.091,"from_dataset",1992,4,10,8,1,1,NA,NA,0,NA,"Algebra"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Horton et al. 1985",0.51,0.065,"from_dataset",1985,4,3,NA,0,1,1,0,0,0,"Chemistry"
