"dataset_id","source_pkg","object","title","slab","yi","vi","measure","year","studyid","source","sampleid","criterion","class"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",1,1.40300750739945,0.0136986301369863,"ZCOR",2009,1,"dissertation",1,"grade","nonscience"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",2,0.309519604203112,0.00340136054421769,"ZCOR",1975,2,"journal",1,"grade","nonscience"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",3,0.907644983319124,0.00531914893617021,"ZCOR",2007,3,"dissertation",1,"gpa",NA
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",4,0.516507503091148,0.00381679389312977,"ZCOR",1989,4,"journal",1,"grade","nonscience"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",5,0.34732377796759,0.00662251655629139,"ZCOR",1989,4,"journal",2,"grade","nonscience"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",6,0.716923450684486,0.00628930817610063,"ZCOR",2008,5,"journal",1,"grade","nonscience"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",7,0.14602922352579,0.04,"ZCOR",1999,6,"journal",1,"grade","nonscience"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",8,0.234189466759367,0.0333333333333333,"ZCOR",1999,6,"journal",2,"grade","nonscience"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",9,0.2768638226551,0.0227272727272727,"ZCOR",1999,6,"journal",3,"grade","nonscience"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",10,-0.0228039520167231,0.0454545454545455,"ZCOR",1999,6,"journal",4,"grade","nonscience"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",11,0.458670484136929,0.0222222222222222,"ZCOR",1999,6,"journal",5,"grade","nonscience"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",12,0.364304606999593,0.0277777777777778,"ZCOR",1999,6,"journal",6,"grade","nonscience"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",13,0.223656109021832,0.0263157894736842,"ZCOR",1999,6,"journal",7,"grade","nonscience"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",14,0.352962252919743,0.03125,"ZCOR",1999,6,"journal",8,"grade","nonscience"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",15,0.480944862554575,0.0232558139534884,"ZCOR",1999,6,"journal",9,"grade","nonscience"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",16,0.345074338781844,0.00288184438040346,"ZCOR",2007,7,"dissertation",1,"gpa",NA
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",17,0.424839974110779,0.00288184438040346,"ZCOR",2007,7,"dissertation",1,"grade","nonscience"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",18,0.223656109021832,0.00239234449760766,"ZCOR",2003,8,"journal",1,"grade","nonscience"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",19,0.271478450974392,0.00290697674418605,"ZCOR",2006,9,"journal",1,"grade","nonscience"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",20,-0.388423099718296,0.00336700336700337,"ZCOR",2006,10,"journal",1,"gpa",NA
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",21,0.604155602962267,0.00336700336700337,"ZCOR",2006,10,"journal",1,"grade","nonscience"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",22,0.396557989970601,0.0144927536231884,"ZCOR",1990,11,"dissertation",1,"grade","nonscience"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",23,0.510070336613307,0.0161290322580645,"ZCOR",1980,12,"journal",1,"gpa",NA
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",24,0.192337169219545,0.0357142857142857,"ZCOR",1980,12,"journal",2,"gpa",NA
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",25,0.506226676988569,0.0133333333333333,"ZCOR",1990,13,"dissertation",1,"grade","nonscience"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",26,0.298566263660178,0.0131578947368421,"ZCOR",2006,14,"journal",1,"grade","nonscience"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",27,0.0902441878561468,0.00675675675675676,"ZCOR",1996,15,"journal",1,"gpa",NA
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",28,0.223656109021832,0.00675675675675676,"ZCOR",1996,15,"journal",1,"grade","nonscience"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",29,0.202732554054082,0.00298507462686567,"ZCOR",2008,16,"journal",1,"gpa",NA
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",30,0.400059650056057,0.00298507462686567,"ZCOR",2008,16,"journal",1,"grade","nonscience"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",31,0.595724173900778,0.0204081632653061,"ZCOR",1994,17,"dissertation",1,"grade","science"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",32,0.37688590118819,0.00233100233100233,"ZCOR",2003,18,"journal",1,"gpa",NA
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",33,0.223656109021832,0.00900900900900901,"ZCOR",1976,19,"journal",1,"grade","nonscience"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",34,0.234189466759367,0.00900900900900901,"ZCOR",1976,19,"journal",1,"gpa",NA
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",35,0.355223674389586,0.00671140939597315,"ZCOR",1998,20,"journal",1,"grade","science"
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",36,0.759869351300906,0.00235294117647059,"ZCOR",2005,21,"dissertation",1,"grade","nonscience"
