"dataset_id","source_pkg","object","title","slab","yi","vi","measure","paper","genus","species","fungrp","co2ambi","co2elev","units","time","pot","method","stock","xtrt","level"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",1,1.8221543530531,0.740848738730231,"SMD",44,"ALNUS","RUBRA","N2FIX",350,650,"ul/l",47,"0.5","GC","SEED","FERT","HIGH"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",2,0.592189150174601,0.417534399479226,"SMD",44,"ALNUS","RUBRA","N2FIX",350,650,"ul/l",47,"0.5","GC","SEED","FERT","CONTROL"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",3,1.32856991872862,0.488254901447528,"SMD",121,"ACER","RUBRUM","ANGIO",350,700,"ppm",59,"2.6","GH","SEED","NONE","."
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",4,-0.379823660141519,0.407213300640165,"SMD",121,"QUERCUS","PRINUS","ANGIO",350,700,"ppm",70,"2.6","GH","SEED","NONE","."
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",5,0.332056331211937,0.506891337943621,"SMD",121,"MALUS","DOMESTICA","ANGIO",350,700,"ppm",64,"2.6","GH","SEED","NONE","."
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",6,2.51369545683375,0.928249886439998,"SMD",121,"ACER","SACCHARINUM","ANGIO",350,700,"ppm",50,"2.6","GH","SEED","NONE","."
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",7,0.540497435115726,0.691011456447223,"SMD",159,"CASTANEA","SATIVA","ANGIO",350,700,"ppm",730,"GRND","GC","SAP","NONE","."
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",8,2.04705236874831,1.01586861669984,"SMD",183,"CITRUS","SINENSIS","ANGIO",395,795,"ppm",365,"9","GH","SAP","NONE","."
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",9,1.17096730511183,0.117139555370511,"SMD",209,"CASTANEA","SATIVA","ANGIO",350,700,"ppm",365,"24","GH","SEED","FERT","HIGH"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",10,0.803541201106734,0.135088725966813,"SMD",209,"CASTANEA","SATIVA","ANGIO",350,700,"ppm",365,"24","GH","SEED","FERT","CONTROL"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",11,1.24783328575682,0.111583934230526,"SMD",210,"CASTANEA","SATIVA","ANGIO",350,700,"ppm",120,"12","GH","SAP","NONE","."
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",12,0.813523285641377,0.0902272930862577,"SMD",210,"CASTANEA","SATIVA","ANGIO",350,700,"ppm",120,"12","GH","SAP","NONE","."
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",13,0.923446076606341,0.276648520512489,"SMD",290,"PINUS","RADIATA","GYMNO",340,640,"ul/l",120,"4","GC","SAP","NONE","."
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",14,0.435839507903493,0.255936127395299,"SMD",290,"NOTHOFAGUS","FUSCA","ANGIO",340,640,"ul/l",120,"4","GC","SAP","NONE","."
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",15,0.0686615466908154,0.250147325249812,"SMD",290,"PSEUDOTSUGA","MENZIESII","GYMNO",340,640,"ul/l",120,"4","GC","SAP","NONE","."
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",16,0.350713194361068,0.406149987234947,"SMD",468,"CASTANEA","SATIVA","ANGIO",350,700,"umol/mol",1095,"24","OTC","SAP","NONE","."
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",17,0.762526190669344,0.178780128988681,"SMD",470,"CASTANEA","SATIVA","ANGIO",350,700,"ppm",180,"24","OTC","SAP","NONE","."
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",18,0.035636157587048,0.400063496786378,"SMD",503,"PINUS","ECHINATA","GYMNO",368,695,"ul/l",287,"0.95","GC","SEED","NONE","."
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",19,0.399853774341191,0.407994152042745,"SMD",505,"QUERCUS","ALBA","ANGIO",389,793,"cm3/m3",168,"2.6","GH","SEED","FERT","HIGH"
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",20,0.585783134036082,0.417157094006057,"SMD",505,"QUERCUS","ALBA","ANGIO",389,793,"cm3/m3",168,"2.6","GH","SEED","FERT","CONTROL"
