"dataset_id","source_pkg","object","title","slab","yi","vi","measure","year","scq","mi","ethnicity","patients","select","sens"
"metadat_dat.debruin2009","metadat","dat.debruin2009","Studies on Standard Care Quality and HAART-Adherence","Andrade et al. 2005",-0.492476485097794,0.146464646464646,"PLO",2005,21,18,"other","starting","no","<400"
"metadat_dat.debruin2009","metadat","dat.debruin2009","Studies on Standard Care Quality and HAART-Adherence","Fairley et al. 2003",0.980829253011726,0.152777777777778,"PLO",2003,22.67,9,"caucasian","continuing","yes","<400"
"metadat_dat.debruin2009","metadat","dat.debruin2009","Studies on Standard Care Quality and HAART-Adherence","Goujard et al. 2003",0.196953219062019,0.0123893132672063,"PLO",2003,15.07,147,"caucasian","continuing","no","<400"
"metadat_dat.debruin2009","metadat","dat.debruin2009","Studies on Standard Care Quality and HAART-Adherence","Holzemer et al. 2006",-0.655875785762714,0.0185242358752701,"PLO",2006,3.67,158,"other","continuing","no","400"
"metadat_dat.debruin2009","metadat","dat.debruin2009","Studies on Standard Care Quality and HAART-Adherence","Knobel et al. 1999",0.182321556793954,0.0366666666666667,"PLO",1999,8.6,50,"caucasian","starting","no","<400"
"metadat_dat.debruin2009","metadat","dat.debruin2009","Studies on Standard Care Quality and HAART-Adherence","Murphy et al. 2002",-0.492476485097794,0.146464646464646,"PLO",2002,27.8,18,"other","continuing","yes","400"
"metadat_dat.debruin2009","metadat","dat.debruin2009","Studies on Standard Care Quality and HAART-Adherence","Pradier et al. 2003",-0.381613892285984,0.016997561825148,"PLO",2003,4.8,145,"caucasian","continuing","no","<400"
"metadat_dat.debruin2009","metadat","dat.debruin2009","Studies on Standard Care Quality and HAART-Adherence","Rathbun et al. 2005",0.117783035656383,0.236111111111111,"PLO",2005,12.07,8,"caucasian","starting","no","<400"
"metadat_dat.debruin2009","metadat","dat.debruin2009","Studies on Standard Care Quality and HAART-Adherence","Remien et al. 2005",-0.366850271980385,0.0192376521116679,"PLO",2005,20,127,"other","continuing","yes","<400"
"metadat_dat.debruin2009","metadat","dat.debruin2009","Studies on Standard Care Quality and HAART-Adherence","Tuldra et al. 2000",0.635988766719997,0.169934640522876,"PLO",2000,7.47,9,"caucasian","starting","no","400"
"metadat_dat.debruin2009","metadat","dat.debruin2009","Studies on Standard Care Quality and HAART-Adherence","van Servellen 2005",-1.46040233327361,0.0473901098901099,"PLO",2005,7.8,112,"other","continuing","yes","400"
"metadat_dat.debruin2009","metadat","dat.debruin2009","Studies on Standard Care Quality and HAART-Adherence","Wagner et al. 2006",-0.330241686870577,0.0747282608695652,"PLO",2006,10.47,32,"other","starting","yes","400"
"metadat_dat.debruin2009","metadat","dat.debruin2009","Studies on Standard Care Quality and HAART-Adherence","Wohl et al. 2006",1.04982212449868,0.0964285714285714,"PLO",2006,22.8,14,"other","starting","no","400"
