"dataset_id","source_pkg","object","title","slab","yi","vi","measure","authorname","doi","percentolfactoryloss","comments","objectivity","measured","testtype","country","patienttype"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",1,0.451985123743057,0.0584415584415584,"PLO","Vaira et al. 1","10.1002/hed.26204",61.11111111,"In the abstact of the paper it says 60 cases with varying degree of hyposmia and 2 patients with anosmia -- Results showed 44","Objective","Taste and Smell, Smell only","Connecticut Chemosensory Clinical Research Center orthonasal olfaction test","Italy","18+, nasal swab confirmed"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",2,1.46633706879343,0.41025641025641,"PLO","Iravani et al.","10.1101/2020.05.07.20094516",81.25,"Preprint, only small part of whole paper","Objective","Smell only","5 odor smell panel - no indication of validation - used test-retest to measure reliability","Sweden","18+, 16 COVID-Confirmed"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",3,0.0606246218164348,0.121323529411765,"PLO","Vaira et al. 2","10.1002/hed.26228",51.51515152,"Changed to 17 cases, peer reviewed","Objective","Smell only","Connecticut Chemosensory Clinical Research Center orthonasal olfaction test, self administered olfactory test","Italy","18+, nasal swab confirmed, home-quarantined"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",4,-1.87180217690159,0.576923076923077,"PLO","Merza et al.","10.1016/j.dsx.2020.04.047",13.33333333,"Changed cases to 2; 4 patients had ""smell and taste disorders"", of which 2 had both and 2 had only taste","Subjective","Smell only","Unknown, Hospital Reported","Duhok, Iraqi Kurdistan","All ages, COVID-Confirmed"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",5,0.38105614322924,0.00716229589312222,"PLO","Menni et al. 1","10.1101/2020.04.05.20048421",59.41278066,"looks good","Subjective","Taste and Smell","Self Reported","UK and US","16-90, COVID-Confirmed"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",6,-0.587786664902119,0.103703703703704,"PLO","Levinson et al.","10.1101/2020.04.11.20055483",35.71428571,"Changed cases to 14, looks good","Subjective","Smell only","Self Reported","Israel","15+, Hospitalized, nasal swab confirmed"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",7,0.606135803570316,0.128787878787879,"PLO","Haehner et al.","10.1101/2020.04.27.20081356",64.70588235,"Changes case numbers to 22 and total to 34","Subjective","Smell only","Self Reported","Germany","Patient showing symptoms, only COVID positive patients used"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",8,0.454255272277596,0.0408730158730159,"PLO","Speth et al.","10.1177/0194599820929185",61.16504854,"Looks good, measured olfactory dysfunction over phone","Subjective","Smell only","Self Reported","Switzerland","All ages, COVID-Confirmed, Hospitalized or Treated at hospital"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",9,0.0210534091978325,0.0421099290780142,"PLO","De Maria et al.","10.1002/jmv.25995.",50.52631579,"Studied ""loss of smell or taste"", looks good","Subjective","Taste and Smell","Self Reported","Italy","All ages, COVID-Confirmed, home-quarantined"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",10,0.620447961280617,0.000612630881785625,"PLO","Menni et al. 2","10.1038/s41591-020-0916-2",65.03204235,"Smartphone app tracking, Studied ""Loss of smell and taste""","Subjective","Taste and Smell","Self Reported","UK and US","16-90, COVID-Confirmed,unspecified hospitalization/quarantine"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",11,0.744440474947496,0.0776315789473684,"PLO","Yan et al. 1","10.1111/alr.22579.",67.79661017,"looks good","Subjective","Smell only","Self Reported","US","COVID-Confirmed, home-quarantined"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",12,1.02585293438568,0.0714995034756703,"PLO","Luers et al.","10.1093/cid/ciaa525",73.61111111,"looks good","Subjective","Smell only","Self Reported","Germany","COVID-Confirmed, home-quarantined"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",13,0.641853886172395,0.0305263157894737,"PLO","Roland et al.","10.1111/alr.22602.",65.51724138,"Changed cases to 95","Subjective","Taste or Smell","Self Reported","US/Online Global","COVID-19 Confirmed, online presumably home-quarantined"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",14,0.53062825106217,0.0794117647058823,"PLO","Boscolo-Rizzo et al","10.1007/s00405-020-06066-9",62.96296296,"Of those who were tested, I found 34/54 had an altered sense of taste/smnell","Subjective","Taste or Smell","Self Reported","Italy","Home-quarantined, COVID-positive included, Household contacts of patients from Spinato paper"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",15,-1.893542163538,0.0273937532002048,"PLO","Liu et al.","10.3390/ijerph17093311",13.08411215,"Studied ""loss of smell or taste""","Subjective","Taste or Smell","Unknown, Hospital Reported","Taiwan","Unknown"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",16,0.237328186306166,0.00798541247484909,"PLO","Paderno et al.","10.1111/alr.22610.",55.90551181,"looks good","Subjective","Smell only","Self Reported","Italy","Hospitalized and home-quarantined"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",17,-1.7118021404233,0.00241913963234536,"PLO","Lee et al.","10.3346/jkms.2020.35.e174",15.2930116,"studied ""anosmia or ageusia""","Subjective","Taste or Smell","Self Reported","Korea","Home-quarantined"
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",18,1.78339121955754,0.0194677871148459,"PLO","Lechien et al.","10.1007/s00405-020-05965-1",85.61151079,"looks good","Subjective","Smell only","Self Reported, Survey based on NHANES and sQOD-NS","Belgium, France, Spain, Italy","Home-quarantined, not specified"
