"dataset_id","source_pkg","object","title","slab","yi","vi","measure","year","article","species","amniotes","environment","reprounit"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Abell, A.J. 1999",0.400059650056057,0.0555555555555556,"ZCOR","1999",1,"Sceloporus_virgatus","yes","wild","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Abell, A.J. 1999",0.21317134656486,0.0909090909090909,"ZCOR","1999",1,"Sceloporus_virgatus","yes","wild","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Allen, R.M., Krug, P.J. & Marshall, D.J. 2009",0.682280562233727,0.0555555555555556,"ZCOR","2009",2,"Elysia_stylifera","no","wild","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Fox, C.W. 1993",0.281183410653656,0.00892857142857143,"ZCOR","1993",3,"Callosobruchus_maculatus","no","captive","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Arnboom, T., Fedak, M.A. & Rothery, P. 1994",0.588755555956322,0.0147058823529412,"ZCOR","1994",5,"Mirounga_leonina","yes","wild","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Arnboom, T., Fedak, M.A. & Rothery, P. 1994",0.685370974056203,0.012987012987013,"ZCOR","1994",5,"Mirounga_leonina","yes","wild","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Benton, T.G., St Clair, J.J.H & Palistow, S.J. 2008",0.404743086322048,0.0087719298245614,"ZCOR","2008",6,"Sancassania_berlesei","no","captive","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Berg, O.K., Hendry, A.P., Svendsen, D., Bech, C., Arnekleiv, J.V. & Lohrmann, A. 2001",1.13581479695013,0.333333333333333,"ZCOR","2001",7,"Salmo_salar","no","wild","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Berg, O.K., Hendry, A.P., Svendsen, D., Bech, C., Arnekleiv, J.V. & Lohrmann, A. 2001",0.993851905623452,0.333333333333333,"ZCOR","2001",7,"Salmo_salar","no","wild","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Berg, O.K., Hendry, A.P., Svendsen, D., Bech, C., Arnekleiv, J.V. & Lohrmann, A. 2001",1.16604452105242,0.333333333333333,"ZCOR","2001",7,"Salmo_salar","no","wild","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Berg, O.K., Hendry, A.P., Svendsen, D., Bech, C., Arnekleiv, J.V. & Lohrmann, A. 2001",1.09861228866811,0.333333333333333,"ZCOR","2001",7,"Salmo_salar","no","wild","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Blouin-Demers, G. & Weatherhead, P.J. 2007",0.0550555592082121,0.0208333333333333,"ZCOR","2007",9,"Pantherophis_obsoletus","yes","wild","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Boersma, M. 1995",0.472230804420426,0.00207900207900208,"ZCOR","1995",10,"Daphnia_galeata","no","captive","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Boltnev , A.I. & York, A.E. 2001",0.179916484577676,0.00401606425702811,"ZCOR","2001",11,"Callorhinus_ursinus","yes","wild","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Bonenfant, C., Gaillard, J.M., Loison, A. & Klein, F. 2003",1.58902691517397,0.00925925925925926,"ZCOR","2003",12,"Cervus_elaphus","yes","wild","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Bonnet, X., Naulleau, G., Shine, R. & Lourdais, O. 2001",0.223656109021832,0.00775193798449612,"ZCOR","2001",13,"Vipera_aspis","yes","wild","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Dziminski, M.A. & Alford, R.A. 2005",0.0210030878170776,0.0476190476190476,"ZCOR","2005",15,"Limnodynastes_ornatus","no","wild","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Dziminski, M.A. & Alford, R.A. 2005",0.0570618516183901,0.0555555555555556,"ZCOR","2005",15,"Cyclorana_alboguttata","no","wild","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Dziminski, M.A. & Alford, R.A. 2005",0.324976785659335,0.2,"ZCOR","2005",15,"Cyclorana_brevipes","no","wild","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Dziminski, M.A. & Alford, R.A. 2005",-0.373443467798625,0.2,"ZCOR","2005",15,"Cyclorana_novaehollandiae","no","wild","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Dziminski, M.A. & Alford, R.A. 2005",0.627024571153056,0.0833333333333333,"ZCOR","2005",15,"Litoria_caerulea","no","wild","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Dziminski, M.A. & Alford, R.A. 2005",0.331647108705132,0.04,"ZCOR","2005",15,"Litoria_fallax","no","wild","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Dziminski, M.A. & Alford, R.A. 2005",0.151140435936467,0.166666666666667,"ZCOR","2005",15,"Litoria_gracilenta","no","wild","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Dziminski, M.A. & Alford, R.A. 2005",0.202732554054082,0.142857142857143,"ZCOR","2005",15,"Litoria_nasuta","no","wild","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Dziminski, M.A. & Alford, R.A. 2005",0.139905729509726,0.125,"ZCOR","2005",15,"Litoria_rothii","no","wild","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Dziminski, M.A. & Alford, R.A. 2005",-0.107411175916069,0.2,"ZCOR","2005",15,"Litoria_rubella","no","wild","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Ford, N.B. & Seigel, R.A. 1989",0.290940262008008,0.0555555555555556,"ZCOR","1989",16,"Pantherophis_guttatus","yes","captive","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Ford, N.B. & Seigel, R.A. 1989",0.345074338781844,0.0833333333333333,"ZCOR","1989",16,"Trimeresurus_flavoviridis","yes","captive","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Ford, N.B. & Seigel, R.A. 1989",0.360892579373737,0.05,"ZCOR","1989",16,"Ovophis_okinavensis","yes","captive","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Barbosa, M. & Magurran, A.E. 2010",0.12667321652205,0.0072992700729927,"ZCOR","2010",17,"Poecilia_reticulata","no","captive","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Blanchard, P., Hanuise, N., Dana, S. & Weimerskirch, H. 2007",0.671552214184739,0.0476190476190476,"ZCOR","2007",18,"Diomedea_exulans","yes","wild","single"
"metadat_dat.lim2014","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Blanchard, P., Hanuise, N., Dana, S. & Weimerskirch, H. 2007",0.564082236398934,0.0476190476190476,"ZCOR","2007",18,"Diomedea_exulans","yes","wild","single"
