"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","article","author","year","species","amniotes","environment","ni","precision","abs_yi","source","repo","branch","repo_license"
"metadat_dat.lim2014#3","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Abell, A.J. 1999",0.100335347731076,0.0555555555555556,"ZCOR",1,"Abell, A.J.","1999","Sceloporus_virgatus","yes","wild",21,4.24264068711928,0.100335347731076,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#3","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Abell, A.J. 1999",-0.171666663500579,0.0909090909090909,"ZCOR",1,"Abell, A.J.","1999","Sceloporus_virgatus","yes","wild",14,3.3166247903554,0.171666663500579,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#3","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Abell, A.J. 1999",-0.0701146706543251,0.0555555555555556,"ZCOR",1,"Abell, A.J.","1999","Sceloporus_virgatus","yes","wild",21,4.24264068711928,0.0701146706543251,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#3","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Abell, A.J. 1999",-0.140925576070494,0.0909090909090909,"ZCOR",1,"Abell, A.J.","1999","Sceloporus_virgatus","yes","wild",14,3.3166247903554,0.140925576070494,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#3","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Allaine, D., Graziani, L. & Coulon, J. 1998",-0.604155602962267,0.0140845070422535,"ZCOR",2,"Allaine, D., Graziani, L. & Coulon, J.","1998","Marmota_marmota","yes","wild",74,8.42614977317636,0.604155602962267,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#3","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Baron, J.P., Tully, T. & Le Galliard, J.F. 2010",0.532120050644693,0.00980392156862745,"ZCOR",3,"Baron, J.P., Tully, T. & Le Galliard, J.F.","2010","Vipera_ursinii","yes","wild",105,10.0995049383621,0.532120050644693,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#3","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Blouin-Demers, G. & Weatherhead, P.J. 2007",-0.298566263660178,0.0099009900990099,"ZCOR",4,"Blouin-Demers, G. & Weatherhead, P.J.","2007","Pantherophis_obsoletus","yes","wild",104,10.0498756211209,0.298566263660178,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#3","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Bluhm, C.K. & Gowaty, P.A. 2004",0.417710618112312,0.0217391304347826,"ZCOR",5,"Bluhm, C.K. & Gowaty, P.A.","2004","Anas_platyrhynchos","yes","captive",49,6.78232998312527,0.417710618112312,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#3","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Brown, G.P. & Shine, R. 2005",-0.130739850028878,0.00317460317460317,"ZCOR",6,"Brown, G.P. & Shine, R.","2005","Tropidonophis_mairii","yes","wild",318,17.7482393492988,0.130739850028878,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#3","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Dobson, F.S. & Michener, G.R. 1995",-0.810743125475137,0.0208333333333333,"ZCOR",10,"Dobson, F.S. & Michener, G.R.","1995","Urocitellus_richardsonii","yes","wild",51,6.92820323027551,0.810743125475137,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#3","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Dobson, F.S. & Michener, G.R. 1995",-0.423648930193602,0.0285714285714286,"ZCOR",10,"Dobson, F.S. & Michener, G.R.","1995","Urocitellus_richardsonii","yes","wild",38,5.91607978309962,0.423648930193602,"CRAN",NA,NA,"CRAN"
"metadat_dat.lim2014#3","metadat","dat.lim2014","Studies on the Association Between Maternal Size, Offspring Size, and Number of Offsprings","Dobson, F.S., Risch, T.S. & Murie, J.O. 1999",-0.590145159841189,0.00763358778625954,"ZCOR",11,"Dobson, F.S., Risch, T.S. & Murie, J.O.","1999","Urocitellus_richardsonii","yes","wild",134,11.4455231422596,0.590145159841189,"CRAN",NA,NA,"CRAN"
