"dataset_id","source_pkg","object","title","slab","yi","vi","measure","article","experiment","sample","pairing","stimuli","condition","gen_difficulty","manip_type","present_style","word_status","memory_test","memory_type","gen_constraint","learning_type","stimuli_relation","gen_mode","gen_task","attention","pacing","filler_task","age_grp","retention_delay"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",1,0.879,0.000684370886775546,"from_dataset",12,"1",1,1,20,"generate",NA,"between","pure","words","recognition","item","medium","intentional","semantic","verbal/speaking","word stem","full",NA,"no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",2,0.713,0.0014039186561301,"from_dataset",12,"1",2,1,20,"read",NA,"between","pure","words","recognition","item",NA,"intentional","semantic","verbal/speaking","word stem","full",NA,"no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",3,0.906,0.000579846945242727,"from_dataset",12,"1",1,2,20,"generate",NA,"between","pure","words","recognition","item","high","intentional","category","verbal/speaking","word stem","full",NA,"no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",4,0.684,0.00150947360729542,"from_dataset",12,"1",2,2,20,"read",NA,"between","pure","words","recognition","item",NA,"intentional","category","verbal/speaking","word stem","full",NA,"no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",5,0.842,0.000840009202792111,"from_dataset",12,"1",1,3,20,"generate",NA,"between","pure","words","recognition","item","high","intentional","antonym","verbal/speaking","word stem","full",NA,"no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",6,0.753,0.00123787160677674,"from_dataset",12,"1",2,3,20,"read",NA,"between","pure","words","recognition","item",NA,"intentional","antonym","verbal/speaking","word stem","full",NA,"no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",7,0.893,0.000629087067046572,"from_dataset",12,"1",1,4,20,"generate",NA,"between","pure","words","recognition","item","high","intentional","synonym","verbal/speaking","word stem","full",NA,"no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",8,0.697,0.00146406150622161,"from_dataset",12,"1",2,4,20,"read",NA,"between","pure","words","recognition","item",NA,"intentional","synonym","verbal/speaking","word stem","full",NA,"no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",9,0.733,0.00132323769152387,"from_dataset",12,"1",1,5,20,"generate",NA,"between","pure","words","recognition","item","high","intentional","rhyme","verbal/speaking","word stem","full",NA,"no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",10,0.643,0.00162797627976605,"from_dataset",12,"1",2,5,20,"read",NA,"between","pure","words","recognition","item",NA,"intentional","rhyme","verbal/speaking","word stem","full",NA,"no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",11,0.838,0.00112350532092418,"from_dataset",12,"2",1,6,10,"generate",NA,"within","pure","words","recognition","item","medium","intentional","semantic","verbal/speaking","word stem","full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",12,0.652,0.00210355693438592,"from_dataset",12,"2",1,6,10,"read",NA,"within","pure","words","recognition","item",NA,NA,"semantic","verbal/speaking","word stem","full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",13,0.872,0.000933945263966527,"from_dataset",12,"2",1,7,10,"generate",NA,"within","pure","words","recognition","item","high",NA,"category","verbal/speaking","word stem","full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",14,0.665,0.00205625312585221,"from_dataset",12,"2",1,7,10,"read",NA,"within","pure","words","recognition","item",NA,NA,"category","verbal/speaking","word stem","full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",15,0.878,0.000901948106343916,"from_dataset",12,"2",1,8,10,"generate",NA,"within","pure","words","recognition","item","high",NA,"antonym","verbal/speaking","word stem","full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",16,0.699,0.00190868556837928,"from_dataset",12,"2",1,8,10,"read",NA,"within","pure","words","recognition","item",NA,NA,"antonym","verbal/speaking","word stem","full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",17,0.871,0.000939325748505542,"from_dataset",12,"2",1,9,10,"generate",NA,"within","pure","words","recognition","item","high",NA,"synonym","verbal/speaking","word stem","full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",18,0.677,0.00200787598553101,"from_dataset",12,"2",1,9,10,"read",NA,"within","pure","words","recognition","item",NA,NA,"synonym","verbal/speaking","word stem","full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",19,0.741,0.00168959316287993,"from_dataset",12,"2",1,10,10,"generate",NA,"within","pure","words","recognition","item","high",NA,"rhyme","verbal/speaking","word stem","full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",20,0.548,0.00225122514558473,"from_dataset",12,"2",1,10,10,"read",NA,"within","pure","words","recognition","item",NA,NA,"rhyme","verbal/speaking","word stem","full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",21,0.521,0.00152090063574728,"from_dataset",12,"3",1,11,33,"generate",NA,"within","pure","words","recognition","cue word","high",NA,"rhyme","verbal/speaking","word stem","full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",22,0.492,0.00147309436068632,"from_dataset",12,"3",1,11,33,"read",NA,"within","pure","words","recognition","cue word",NA,NA,"rhyme","verbal/speaking","word stem","full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",23,0.711,0.00126913848238116,"from_dataset",12,"3",2,12,33,"generate",NA,"within","pure","words","recognition","item","high",NA,"rhyme","verbal/speaking","word stem","full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",24,0.533,0.00153403929794394,"from_dataset",12,"3",2,12,33,"read",NA,"within","pure","words","recognition","item",NA,NA,"rhyme","verbal/speaking","word stem","full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",25,0.354,0.00146800828724623,"from_dataset",13,"1",1,13,8,"generate",NA,"within","pure","words","free recall","item","medium","incidental","rhyme","verbal/speaking","cue only","full","self-paced","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",26,0.151,0.000446314512003586,"from_dataset",13,"1",1,13,8,"read",NA,"within","pure","words","free recall","item",NA,"incidental","rhyme","verbal/speaking","cue only","full","self-paced","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",27,0.361,0.00150859341116615,"from_dataset",13,"1",1,14,8,"generate",NA,"within","pure","words","free recall","item","medium","incidental","semantic","verbal/speaking","sentence completion","full","self-paced","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",28,0.21,0.000683170940514453,"from_dataset",13,"1",1,14,8,"read",NA,"within","pure","words","free recall","item",NA,"incidental","semantic","verbal/speaking","sentence completion","full","self-paced","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",29,0.302,0.000830957610396787,"from_dataset",13,"2",1,15,16,"generate",NA,"between","pure","words","free recall","item","medium","incidental","rhyme","verbal/speaking","cue only","full","self-paced","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",30,0.162,0.00034640915911672,"from_dataset",13,"2",2,15,16,"read",NA,"between","pure","words","free recall","item",NA,"incidental","rhyme","verbal/speaking","cue only","full","self-paced","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",31,0.368,0.00110495355761299,"from_dataset",13,"2",1,16,16,"generate",NA,"between","pure","words","free recall","item","medium","incidental","semantic","verbal/speaking","sentence completion","full","self-paced","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",32,0.287,0.000770020107276239,"from_dataset",13,"2",2,16,16,"read",NA,"between","pure","words","free recall","item",NA,"incidental","semantic","verbal/speaking","sentence completion","full","self-paced","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",33,0.861,0.000982008449114481,"from_dataset",13,"3a",1,17,8,"generate",NA,"within","pure","words","cued recall","item","medium","incidental","rhyme","verbal/speaking","cue only","full","self-paced","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",34,0.512,0.00217215430763486,"from_dataset",13,"3a",1,17,8,"read",NA,"within","pure","words","cued recall","item",NA,"incidental","rhyme","verbal/speaking","cue only","full","self-paced","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",35,0.928,0.000649248987857125,"from_dataset",13,"3a",1,18,8,"generate",NA,"within","pure","words","cued recall","item","medium","incidental","semantic","verbal/speaking","sentence completion","full","self-paced","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",36,0.893,0.000814419054784168,"from_dataset",13,"3a",1,18,8,"read",NA,"within","pure","words","cued recall","item",NA,"incidental","semantic","verbal/speaking","sentence completion","full","self-paced","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",37,0.819,0.00121932794584729,"from_dataset",13,"3b",1,19,8,"generate",NA,"within","pure","words","cued recall","item","medium","incidental","rhyme","verbal/speaking","cue only","full","self-paced","no","younger","long"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",38,0.346,0.00142136011364856,"from_dataset",13,"3b",1,19,8,"read",NA,"within","pure","words","cued recall","item",NA,"incidental","rhyme","verbal/speaking","cue only","full","self-paced","no","younger","long"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",39,0.906,0.000750672563149527,"from_dataset",13,"3b",1,20,8,"generate",NA,"within","pure","words","cued recall","item","medium","incidental","semantic","verbal/speaking","sentence completion","full","self-paced","no","younger","long"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",40,0.727,0.00174513233596134,"from_dataset",13,"3b",1,20,8,"read",NA,"within","pure","words","cued recall","item",NA,"incidental","semantic","verbal/speaking","sentence completion","full","self-paced","no","younger","long"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",41,0.783,0.00142975061806918,"from_dataset",13,"4",1,21,8,"generate",NA,"within","pure","words","recognition","item","medium","incidental","rhyme","verbal/speaking","cue only","full","self-paced","no","younger","long"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",42,0.542,0.00221937036825064,"from_dataset",13,"4",1,21,8,"read",NA,"within","pure","words","recognition","item",NA,"incidental","rhyme","verbal/speaking","cue only","full","self-paced","no","younger","long"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",43,0.785,0.00141806500652594,"from_dataset",13,"4",1,22,8,"generate",NA,"within","pure","words","recognition","item","medium","incidental","semantic","verbal/speaking","sentence completion","full","self-paced","no","younger","long"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",44,0.684,0.00195417158112419,"from_dataset",13,"4",1,22,8,"read",NA,"within","pure","words","recognition","item",NA,"incidental","semantic","verbal/speaking","sentence completion","full","self-paced","no","younger","long"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",45,0.41,0.000700410850629397,"from_dataset",17,"1",1,23,18,"generate",NA,"within","pure","words","free recall","item",NA,"incidental",NA,"writing/typing",NA,"full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",46,0.31,0.000476643333282595,"from_dataset",17,"1",1,23,18,"read",NA,"within","pure","words","free recall","item",NA,"incidental",NA,"writing/typing",NA,"full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",47,0.33,0.000522566722124564,"from_dataset",17,"1",2,24,18,"generate",NA,"within","pure","words","free recall","item",NA,"incidental",NA,"covert/thinking",NA,"full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",48,0.2,0.000251326523941607,"from_dataset",17,"1",2,24,18,"read",NA,"within","pure","words","free recall","item",NA,"incidental",NA,"covert/thinking",NA,"full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",49,0.99,0.000161657088434079,"from_dataset",17,"1",1,25,18,"generate",NA,"within","pure","words","cued recall","item",NA,"incidental","category",NA,NA,"full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",50,0.96,0.000203577820769672,"from_dataset",17,"1",1,25,18,"read",NA,"within","pure","words","cued recall","item",NA,"incidental","category",NA,NA,"full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",51,0.97,0.000188871502997182,"from_dataset",17,"1",2,26,18,"generate",NA,"within","pure","words","cued recall","item",NA,"incidental","antonym",NA,NA,"full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",52,0.83,0.000454924375852444,"from_dataset",17,"1",2,26,18,"read",NA,"within","pure","words","cued recall","item",NA,"incidental","antonym",NA,NA,"full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",53,0.98,0.000174899217660165,"from_dataset",17,"1",1,27,18,"generate",NA,"within","pure","words","cued recall","item",NA,"incidental",NA,"writing/typing",NA,"full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",54,0.9,0.000306908678459329,"from_dataset",17,"1",1,27,18,"read",NA,"within","pure","words","cued recall","item",NA,"incidental",NA,"writing/typing",NA,"full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",55,0.98,0.000174899217660165,"from_dataset",17,"1",2,28,18,"generate",NA,"within","pure","words","cued recall","item",NA,"incidental",NA,"covert/thinking",NA,"full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",56,0.89,0.000326491125070066,"from_dataset",17,"1",2,28,18,"read",NA,"within","pure","words","cued recall","item",NA,"incidental",NA,"covert/thinking",NA,"full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",57,0.96,0.000324357409504365,"from_dataset",17,"1",1,29,18,"generate",NA,"within","pure","words","recognition","source",NA,"incidental","category","writing/typing",NA,"full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",58,0.92,0.000429669448481525,"from_dataset",17,"1",1,29,18,"read",NA,"within","pure","words","recognition","source",NA,"incidental","category","writing/typing",NA,"full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",59,0.95,0.000348958115746369,"from_dataset",17,"1",2,30,18,"generate",NA,"within","pure","words","recognition","source",NA,"incidental","category","covert/thinking",NA,"full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",60,0.81,0.000797514928048483,"from_dataset",17,"1",2,30,18,"read",NA,"within","pure","words","recognition","source",NA,"incidental","category","covert/thinking",NA,"full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",61,0.76,0.000980053795187525,"from_dataset",17,"1",3,31,18,"generate",NA,"within","pure","words","recognition","source",NA,"incidental","antonym","writing/typing",NA,"full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",62,0.8,0.000834199892079636,"from_dataset",17,"1",3,31,18,"read",NA,"within","pure","words","recognition","source",NA,"incidental","antonym","writing/typing",NA,"full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",63,0.64,0.00132737297917539,"from_dataset",17,"1",4,32,18,"generate",NA,"within","pure","words","recognition","source",NA,"incidental","antonym","covert/thinking",NA,"full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",64,0.71,0.00114920468848311,"from_dataset",17,"1",4,32,18,"read",NA,"within","pure","words","recognition","source",NA,"incidental","antonym","covert/thinking",NA,"full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",65,0.207,0.000384235388467284,"from_dataset",22,"1",1,33,10,"generate",NA,"within","pure","words","free recall","item","high","intentional","synonym","verbal/speaking","word stem","full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",66,0.138,0.000231140306363894,"from_dataset",22,"1",1,33,10,"read",NA,"within","pure","words","free recall","item",NA,"intentional","synonym","verbal/speaking","word stem","full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",67,0.227,0.000437849855207709,"from_dataset",22,"1",1,34,10,"generate",NA,"within","pure","words","free recall","item","high","intentional","rhyme","verbal/speaking","word stem","full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",68,0.125,0.000207945208367329,"from_dataset",22,"1",1,34,10,"read",NA,"within","pure","words","free recall","item",NA,"intentional","rhyme","verbal/speaking","word stem","full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",69,0.23,0.000504166666666667,"from_dataset",24,"1",1,35,16,"generate","low","within","mixed","words","free recall","item","high","intentional","antonym","verbal/speaking","word fragment","full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",70,0.27,0.0009375,"from_dataset",24,"1",1,35,16,"generate","high","within","mixed","words","free recall","item","medium","intentional","antonym","verbal/speaking","word stem","full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",71,0.09,0.000266666666666667,"from_dataset",24,"1",1,35,16,"read","low","within","mixed","words","free recall","item",NA,"intentional","antonym","verbal/speaking","word fragment","full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",72,0.319,0.000894478028525949,"from_dataset",24,"2",1,36,8,"generate","low","within","mixed","words","free recall","item","high","intentional","antonym","verbal/speaking","word fragment","full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",73,0.332,0.000948317194546913,"from_dataset",24,"2",1,36,8,"generate","high","within","mixed","words","free recall","item","medium","intentional","antonym","verbal/speaking","word stem","full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",74,0.092,0.000193394847204221,"from_dataset",24,"2",1,36,8,"read","low","within","mixed","words","free recall","item",NA,"intentional","antonym","verbal/speaking","word fragment","full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",75,0.772,0.0010576142768678,"from_dataset",24,"2",1,37,8,"generate","low","within","mixed","words","recognition","item","high","intentional","antonym","verbal/speaking","word fragment","full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",76,0.694,0.00135184430227227,"from_dataset",24,"2",1,37,8,"generate","high","within","mixed","words","recognition","item","medium","intentional","antonym","verbal/speaking","word stem","full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",77,0.348,0.00101462524345138,"from_dataset",24,"2",1,37,8,"read","low","within","mixed","words","recognition","item",NA,"intentional","antonym","verbal/speaking","word fragment","full","timed","no","younger","immediate"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",78,0.111,0.000228145307364424,"from_dataset",24,"2",2,38,8,"generate","low","within","mixed","words","free recall","item","high","intentional","antonym","verbal/speaking","word fragment","full","timed","no","younger","long"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",79,0.123,0.000252361318127707,"from_dataset",24,"2",2,38,8,"generate","high","within","mixed","words","free recall","item","medium","intentional","antonym","verbal/speaking","word stem","full","timed","no","younger","long"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",80,0.022,9.92358083701705e-05,"from_dataset",24,"2",2,38,8,"read","low","within","mixed","words","free recall","item",NA,"intentional","antonym","verbal/speaking","word fragment","full","timed","no","younger","long"
