"dataset_id","source_pkg","object","title","slab","yi","vi","measure","authors"
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",1,2.77258872223978,1.0625,"PLO","Giannotta et al."
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",2,1.6094379124341,0.6,"PLO","Haraguchi and Ebina"
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",3,0,0.5,"PLO","Swift and Solomon"
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",4,1.05314991459135,0.089922480620155,"PLO","Kassell et al."
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",5,3.04452243772342,2.0952380952381,"PLO","Tanabe et al."
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",6,0.385662480811985,0.0988235294117647,"PLO","Awad et al."
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",7,2.56494935746154,1.07692307692308,"PLO","Finn et al."
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",8,3.2188758248682,2.08,"PLO","Hadeishi et al."
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",9,0.146603474191875,0.0980861244019139,"PLO","Otsubo et al."
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",10,1.38629436111989,1.25,"PLO","Muizelaar and Becker"
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",11,1.6094379124341,1.2,"PLO","Rosenstein et al."
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",12,1.28093384546206,0.255555555555556,"PLO","Levy et al."
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",13,1.75785791755237,0.117241379310345,"PLO","Shimoda et al."
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",14,0.405465108108164,0.416666666666667,"PLO","Solomon et al."
