"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","study_id","es_id","ni","author","transfer","test","allocation","comparison","baseline","age_group","mean_age_exp","mean_age_control","pop","year","precision","abs_yi","source","repo","branch","repo_license"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Aasvik et al. (2017) 2017",-0.339209880903262,0.0734048837595708,"from_dataset",4,1,54,"Aasvik et al. (2017)","Near","Spatial Working Memory","Random","Non-Active",0.0323057029431677,"adult","46.2","40.799999999999997","vocational rehabilitation seekers",2017,3.69094456389478,0.339209880903262,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Aasvik et al. (2017) 2017",0.296980898741885,0.0731561273791554,"from_dataset",4,2,54,"Aasvik et al. (2017)","Far","Stop Signal Reaction Time","Random","Non-Active",-0.201180608825148,"adult","46.2","40.799999999999997","vocational rehabilitation seekers",2017,3.69721448866258,0.296980898741885,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Akerlund et al. (2013) 2013",0.353082464859866,0.098594665609323,"from_dataset",38,3,40,"Akerlund et al. (2013)","Near","WAIS-III NI (working memory scaled scores)","Random","Non-Active",-0.488430743056149,"adult","47.7","47.7","Impaired WM adults - brain injury",2013,3.18473492684781,0.353082464859866,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Akerlund et al. (2013) 2013",0.464287015272598,0.104009455962835,"from_dataset",38,4,38,"Akerlund et al. (2013)","Near","WAIS-III NI (working memory scaled scores)","Random","Non-Active",-0.489343774826992,"adult","47.7","47.7","Impaired WM adults - brain injury",2013,3.10072740465012,0.464287015272598,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Akerlund et al. (2013) 2013",0.363575041402178,0.0986886604060614,"from_dataset",38,5,40,"Akerlund et al. (2013)","Far","BNIS total score","Random","Non-Active",-0.527508430605838,"adult","47.7","47.7","Impaired WM adults - brain injury",2013,3.18321793481172,0.363575041402178,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Akerlund et al. (2013) 2013",0.5985190740716,0.10588659608753,"from_dataset",38,6,38,"Akerlund et al. (2013)","Far","BNIS total score","Random","Non-Active",-0.534392030421071,"adult","47.7","47.7","Impaired WM adults - brain injury",2013,3.07311991003169,0.5985190740716,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ang et al. (2015)_S1 2015",0.185883801729154,0.073818930664708,"from_dataset",1,7,53,"Ang et al. (2015)_S1","Near","Animal Updating Task","Non-random","Active",-0.28994315485026,"children","81.73 months","81.73 months","children with poor WM",2015,3.68057884113745,0.185883801729154,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ang et al. (2015)_S1 2015",0.365541830194654,0.0747535348333568,"from_dataset",1,8,53,"Ang et al. (2015)_S1","Near","Animal Updating Task","Non-random","Active",-0.28994315485026,"children","81.73 months","81.73 months","children with poor WM",2015,3.65749830157549,0.365541830194654,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ang et al. (2015)_S1 2015",-0.0933894574606788,0.0735752401271563,"from_dataset",1,9,53,"Ang et al. (2015)_S1","Near","Letter Rotation Task","Non-random","Active",0.116982583556008,"children","81.73 months","81.73 months","children with poor WM",2015,3.68666907463211,0.0933894574606788,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ang et al. (2015)_S1 2015",-0.290981888509062,0.0742917388882459,"from_dataset",1,10,53,"Ang et al. (2015)_S1","Near","Letter Rotation Task","Non-random","Active",0.116982583556008,"children","81.73 months","81.73 months","children with poor WM",2015,3.66884815898206,0.290981888509062,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ang et al. (2015)_S1 2015",1.39070210061466,0.091738737692149,"from_dataset",1,11,53,"Ang et al. (2015)_S1","Near","Block Recall task","Non-random","Active",0.0299075720562295,"children","81.73 months","81.73 months","children with poor WM",2015,3.30159364544748,1.39070210061466,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ang et al. (2015)_S1 2015",0.473536557556963,0.0756084031514779,"from_dataset",1,12,53,"Ang et al. (2015)_S1","Near","Block Recall task","Non-random","Active",0.0299075720562295,"children","81.73 months","81.73 months","children with poor WM",2015,3.63676272470769,0.473536557556963,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ang et al. (2015)_S1 2015",0.66405827169531,0.077653087272837,"from_dataset",1,13,53,"Ang et al. (2015)_S1","Near","Backward Letter Recall task","Non-random","Active",-0.225451882365692,"children","81.73 months","81.73 months","children with poor WM",2015,3.58856350907395,0.66405827169531,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ang et al. (2015)_S1 2015",0.705049523034528,0.0781825348362734,"from_dataset",1,14,53,"Ang et al. (2015)_S1","Near","Backward Letter Recall task","Non-random","Active",-0.225451882365692,"children","81.73 months","81.73 months","children with poor WM",2015,3.57639209671271,0.705049523034528,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ang et al. (2015)_S1 2015",-0.28845022908941,0.0742778999752405,"from_dataset",1,15,53,"Ang et al. (2015)_S1","Far","Numerical Operation task","Non-random","Active",0.318586820188304,"children","81.73 months","81.73 months","children with poor WM",2015,3.66918991949112,0.28845022908941,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ang et al. (2015)_S1 2015",0.107630682496049,0.0736022474200786,"from_dataset",1,16,53,"Ang et al. (2015)_S1","Far","Numerical Operation task","Non-random","Active",0.318586820188304,"children","81.73 months","81.73 months","children with poor WM",2015,3.68599262730584,0.107630682496049,"CRAN",NA,NA,"CRAN"
"psymetadata_aksayli2019","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed","Ang et al. (2015)_S1 2015",0,0.0734929609689978,"from_dataset",1,17,53,"Ang et al. (2015)_S1","Far","Additional Fluency Task","Non-random","Active",0.333466666660091,"children","81.73 months","81.73 months","children with poor WM",2015,3.68873220538153,0,"CRAN",NA,NA,"CRAN"
