"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","study_id","es_id","ni","author","comparison","age","test","model","year","precision","abs_yi","source","repo","branch","repo_license"
"psymetadata_sala2019","psymetadata","sala2019","Studies on the impact of working-memory training on near- and far-transfer measures","Anguera et al 2012 2012",0.54450959463473,0.0954824917169367,"from_dataset",1001,1,44,"Anguera et al 2012","Active","adults","operation span",1,2012,3.23622067476076,0.54450959463473,"CRAN",NA,NA,"CRAN"
"psymetadata_sala2019","psymetadata","sala2019","Studies on the impact of working-memory training on near- and far-transfer measures","Anguera et al 2012 2012",0.841569845652695,0.100389701134313,"from_dataset",1001,2,44,"Anguera et al 2012","Active","adults","4-back objects",1,2012,3.15613389513387,0.841569845652695,"CRAN",NA,NA,"CRAN"
"psymetadata_sala2019","psymetadata","sala2019","Studies on the impact of working-memory training on near- and far-transfer measures","Anguera et al 2012 2012",0.640209098946108,0.0968337141792806,"from_dataset",1001,3,44,"Anguera et al 2012","Active","adults","3-back objects",1,2012,3.21356216046122,0.640209098946108,"CRAN",NA,NA,"CRAN"
"psymetadata_sala2019","psymetadata","sala2019","Studies on the impact of working-memory training on near- and far-transfer measures","Bürki,  et al. 2014 comp1 2014",0.0861753566037736,0.0964724917331749,"from_dataset",1002,4,42,"Bürki,  et al. 2014 comp1","Active","adults","Reading span",1,2014,3.21957281793249,0.0861753566037736,"CRAN",NA,NA,"CRAN"
"psymetadata_sala2019","psymetadata","sala2019","Studies on the impact of working-memory training on near- and far-transfer measures","Bürki,  et al. 2014 comp1 2014",0.382641509433962,0.0982119672029248,"from_dataset",1002,5,42,"Bürki,  et al. 2014 comp1","Active","adults","Number updating",1,2014,3.19093380473865,0.382641509433962,"CRAN",NA,NA,"CRAN"
"psymetadata_sala2019","psymetadata","sala2019","Studies on the impact of working-memory training on near- and far-transfer measures","Bürki,  et al. 2014 comp1 2014",0.327044024830189,0.0977181558619127,"from_dataset",1002,6,42,"Bürki,  et al. 2014 comp1","Active","adults","spatial 2 back",1,2014,3.19898621632326,0.327044024830189,"CRAN",NA,NA,"CRAN"
"psymetadata_sala2019","psymetadata","sala2019","Studies on the impact of working-memory training on near- and far-transfer measures","Bürki, et al. 2014 comp 2 2014",-0.139965789447853,0.0943513129150527,"from_dataset",1002,7,43,"Bürki, et al. 2014 comp 2","Non-Active","adults","Reading span",1,2014,3.25556241586791,0.139965789447853,"CRAN",NA,NA,"CRAN"
"psymetadata_sala2019","psymetadata","sala2019","Studies on the impact of working-memory training on near- and far-transfer measures","Bürki, et al. 2014 comp 2 2014",0.215950920245399,0.0946815058990763,"from_dataset",1002,8,43,"Bürki, et al. 2014 comp 2","Non-Active","adults","Number updating",1,2014,3.24988072172091,0.215950920245399,"CRAN",NA,NA,"CRAN"
"psymetadata_sala2019","psymetadata","sala2019","Studies on the impact of working-memory training on near- and far-transfer measures","Bürki, et al. 2014 comp 2 2014",0,0.0941121275275347,"from_dataset",1002,9,43,"Bürki, et al. 2014 comp 2","Non-Active","adults","spatial 2 back",1,2014,3.25969678649425,0,"CRAN",NA,NA,"CRAN"
"psymetadata_sala2019","psymetadata","sala2019","Studies on the impact of working-memory training on near- and far-transfer measures","Chooi & Thompson, 2012 comp 1 2012",0.173793103448276,0.170856969216541,"from_dataset",1003,10,24,"Chooi & Thompson, 2012 comp 1","Active","adults","operation span",1,2012,2.41926616095934,0.173793103448276,"CRAN",NA,NA,"CRAN"
"psymetadata_sala2019","psymetadata","sala2019","Studies on the impact of working-memory training on near- and far-transfer measures","Chooi & Thompson, 2012 comp 2 2012",0.136347826086957,0.131451215318007,"from_dataset",1003,11,31,"Chooi & Thompson, 2012 comp 2","Non-Active","adults","operation span",1,2012,2.75814883070042,0.136347826086957,"CRAN",NA,NA,"CRAN"
"psymetadata_sala2019","psymetadata","sala2019","Studies on the impact of working-memory training on near- and far-transfer measures","Chooi & Thompson, 2012 comp 3 2012",0.115862068965517,0.170474091689787,"from_dataset",1003,12,24,"Chooi & Thompson, 2012 comp 3","Active","adults","operation span",1,2012,2.42198142144414,0.115862068965517,"CRAN",NA,NA,"CRAN"
"psymetadata_sala2019","psymetadata","sala2019","Studies on the impact of working-memory training on near- and far-transfer measures","Chooi & Thompson, 2012 comp 4 2012",0.0782222222222222,0.112755884773663,"from_dataset",1003,13,36,"Chooi & Thompson, 2012 comp 4","Non-Active","adults","operation span",1,2012,2.97803907209757,0.0782222222222222,"CRAN",NA,NA,"CRAN"
"psymetadata_sala2019","psymetadata","sala2019","Studies on the impact of working-memory training on near- and far-transfer measures","Clouter 2013 2013",-0.0168540570381679,0.115934951686034,"from_dataset",1004,14,35,"Clouter 2013","Active","adults","symmetry span",1,2013,2.93692466993463,0.0168540570381679,"CRAN",NA,NA,"CRAN"
"psymetadata_sala2019","psymetadata","sala2019","Studies on the impact of working-memory training on near- and far-transfer measures","Clouter 2013 2013",0.571139392266667,0.117470889877714,"from_dataset",1004,15,36,"Clouter 2013","Active","adults","operation span",1,2013,2.91766127139417,0.571139392266667,"CRAN",NA,NA,"CRAN"
"psymetadata_sala2019","psymetadata","sala2019","Studies on the impact of working-memory training on near- and far-transfer measures","Colom,  et al. 2013 2013",0.138046511627907,0.0722464158232249,"from_dataset",1005,16,56,"Colom,  et al. 2013","Non-Active","adults","reading span",1,2013,3.72041894140601,0.138046511627907,"CRAN",NA,NA,"CRAN"
"psymetadata_sala2019","psymetadata","sala2019","Studies on the impact of working-memory training on near- and far-transfer measures","Colom,  et al. 2013 2013",-0.261728451497674,0.0727045478754976,"from_dataset",1005,17,56,"Colom,  et al. 2013","Non-Active","adults","computation span",1,2013,3.70867870813795,0.261728451497674,"CRAN",NA,NA,"CRAN"
"psymetadata_sala2019","psymetadata","sala2019","Studies on the impact of working-memory training on near- and far-transfer measures","Colom,  et al. 2013 2013",0.266232558139535,0.0727265811635633,"from_dataset",1005,18,56,"Colom,  et al. 2013","Non-Active","adults","dot matrix",1,2013,3.70811687383328,0.266232558139535,"CRAN",NA,NA,"CRAN"
"psymetadata_sala2019","psymetadata","sala2019","Studies on the impact of working-memory training on near- and far-transfer measures","Dahlin,  et al.  2008 comp 1 2008",-0.132498730231579,0.157196291700531,"from_dataset",1006,19,26,"Dahlin,  et al.  2008 comp 1","Non-Active","adults","digit span backward",1,2008,2.52219611061583,0.132498730231579,"CRAN",NA,NA,"CRAN"
