"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","study_id","es_id","control","study_design","blinding","task","population","stimulation","intensity","target_electrode_placement","return_electrode_placement","timing","precision","abs_yi","source","repo","branch","repo_license"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",1,-0.0496052175925733,0.105295535231742,"from_dataset",1,1,"sham","within","not reported","GNG","healthy","anodal","2 mA","preSMA","other brain area","offline",3.08173309094708,0.0496052175925733,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",2,0.115780662603724,0.0572386082988068,"from_dataset",2,2,"sham","within","not reported","GNG","healthy","anodal","1.5 mA","F4","xtc","online",4.17979966775497,0.115780662603724,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",3,0.515045720177203,0.0590376578133775,"from_dataset",3,3,"sham","within","not reported","GNG","healthy","cathodal","1.5 mA","F4","xtc","online",4.11562162263813,0.515045720177203,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",4,0.234923010559284,0.111877622512364,"from_dataset",4,4,"sham","within","success","SST","healthy","anodal","1 mA","preSMA","xtc","offline",2.98970532969715,0.234923010559284,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",5,-0.0801004157959214,0.111200223286259,"from_dataset",5,5,"sham","within","success","SST","healthy","cathodal","1 mA","preSMA","xtc","offline",2.99879770877399,0.0801004157959214,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",6,-0.648261354491039,0.237249496814859,"from_dataset",6,6,"sham","between-subjects","not reported","GNG","other patients","anodal","2 mA","F3","supraorbital","offline",2.05303971189932,0.648261354491039,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",7,-0.833932156293742,0.310551530046455,"from_dataset",7,7,"sham","between-subjects","not reported","GNG","other patients","anodal","2 mA","other","supraorbital","offline",1.79445744383433,0.833932156293742,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",8,0.11712588493994,0.14310211558791,"from_dataset",8,8,"sham","within","not reported","GNG","healthy","anodal","2 mA","other","other brain area","offline",2.64348574517574,0.11712588493994,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",9,-0.807828446596912,0.098324849990127,"from_dataset",9,9,"active control","within","no blinding","SST","healthy","anodal","1.5 mA","rIFG","l cheek","offline",3.18910158763241,0.807828446596912,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",10,-0.327971871565197,0.0921314266879316,"from_dataset",10,10,"active control","within","no blinding","SST","healthy","anodal","1.5 mA","other","l cheek","offline",3.2945499905326,0.327971871565197,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",11,-0.108264575598005,0.129355718575206,"from_dataset",11,11,"sham","between-subjects","not reported","GNG","healthy","anodal","2 mA","rIFG","xtc","offline",2.78039938379177,0.108264575598005,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",12,-0.669050050043888,0.150850499454709,"from_dataset",12,12,"sham","within","not reported","SST","healthy","anodal","1.5 mA","rIFG","l cheek","online",2.57469994528535,0.669050050043888,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",13,-0.679193682693058,0.151094715332324,"from_dataset",13,13,"sham","within","not reported","SST","healthy","anodal","1.5 mA","rIFG","l cheek","offline",2.57261834736919,0.679193682693058,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",14,-0.833039993059949,0.076284374423022,"from_dataset",14,14,"sham","between-subjects","success","SST","other patients","anodal","1.5 mA","rIFG","l cheek","offline",3.6206138253875,0.833039993059949,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",15,-0.00437357841217808,0.0666668260682344,"from_dataset",15,15,"sham","between-subjects","success","GNG","ADHD","anodal","1 mA","F3","other brain area","offline",3.87297871601859,0.00437357841217808,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",16,-0.592810963342837,0.0949025549802212,"from_dataset",16,16,"sham","within","success","SST","healthy","anodal","1.5 mA","rIFG","other brain area","offline",3.24609366902358,0.592810963342837,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",17,0.198573755602805,0.15460445262335,"from_dataset",17,17,"sham","within","success","SST","healthy","anodal","1.5 mA","rIFG","other brain area","online",2.54324969599629,0.198573755602805,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",18,-0.287337899575066,0.096437439127548,"from_dataset",18,18,"sham","between-subjects","success","GNG","healthy","anodal","1.5 mA","rIFG","other brain area","online",3.22015788201246,0.287337899575066,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",19,-0.626574828115402,0.100128307540591,"from_dataset",19,19,"sham","between-subjects","success","GNG","healthy","cathodal","1.5 mA","rIFG","other brain area","online",3.16025088998799,0.626574828115402,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",20,-0.118632082040229,0.183653187217179,"from_dataset",20,20,"no tDCS","between-subjects","no blinding","SST","healthy","anodal","1.5 mA","rIFG","supraorbital","offline",2.33346217334655,0.118632082040229,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",21,-0.34711022579576,0.119418904541941,"from_dataset",21,21,"sham","within","not reported","GNG","healthy","cathodal","2 mA","other central","supraorbital","offline",2.89376632564977,0.34711022579576,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",22,-0.664201162543725,0.0753675284314682,"from_dataset",22,22,"sham","between-subjects","success","SST","healthy","anodal","1 mA","F4","xtc","offline",3.64256963790945,0.664201162543725,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",23,0.823704626228888,0.103531799160151,"from_dataset",23,23,"sham","between-subjects","success","SST","healthy","cathodal","1 mA","F4","xtc","offline",3.10787196887487,0.823704626228888,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",24,-0.640368573158766,0.135780729722947,"from_dataset",24,24,"active control","between-subjects","no blinding","SST","healthy","anodal","1 mA","rIFG","other brain area","online",2.71381932552711,0.640368573158766,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",25,-0.649523736622902,0.135971200286611,"from_dataset",25,25,"active control","between-subjects","no blinding","SST","healthy","anodal","1 mA","rIFG","other brain area","online",2.71191787932471,0.649523736622902,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",26,0.22646693866759,0.129993880768432,"from_dataset",26,26,"active control","between-subjects","no blinding","SST","healthy","anodal","1 mA","rIFG","other brain area","offline",2.77356625917975,0.22646693866759,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",27,0.0270359024608652,0.129178456021858,"from_dataset",27,27,"active control","between-subjects","no blinding","SST","healthy","anodal","1 mA","rIFG","other brain area","offline",2.78230640352873,0.0270359024608652,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",28,-0.566698415065974,0.148591912386398,"from_dataset",28,28,"no tDCS","within","no blinding","SST","healthy","anodal","1.5 mA","preSMA","l cheek","offline",2.59419378135346,0.566698415065974,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",29,-0.402084722385194,0.145744145070992,"from_dataset",29,29,"no tDCS","within","no blinding","SST","healthy","cathodal","1.5 mA","preSMA","l cheek","offline",2.61941579211105,0.402084722385194,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",30,-0.132384842330539,0.143170102615694,"from_dataset",30,30,"no tDCS","within","no blinding","SST","healthy","anodal","1.5 mA","other central","l cheek","offline",2.64285801607318,0.132384842330539,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",31,-0.158526215638383,0.143305902875797,"from_dataset",31,31,"no tDCS","within","no blinding","SST","healthy","cathodal","1.5 mA","other central","l cheek","offline",2.64160550007436,0.158526215638383,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",32,-0.884260338210666,0.199589007857555,"from_dataset",32,32,"sham","within","not reported","SST","healthy","anodal","1 mA","rIFG","supraorbital","offline",2.23836904047505,0.884260338210666,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",33,-0.103551121063281,0.182061882606215,"from_dataset",33,33,"sham","within","not reported","SST","healthy","cathodal","1 mA","rIFG","other brain area","offline",2.34363775335678,0.103551121063281,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",34,-0.643263500224251,0.191222452970926,"from_dataset",34,34,"sham","within","not reported","SST","healthy","anodal","1 mA","rIFG","other brain area","offline",2.286812500355,0.643263500224251,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",35,-0.390494994305077,0.185283780467666,"from_dataset",35,35,"sham","within","not reported","SST","healthy","cathodal","1 mA","rIFG","supraorbital","offline",2.32317164485548,0.390494994305077,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",36,0.542278349053642,0.188501495633008,"from_dataset",36,36,"sham","within","not reported","SST","healthy","anodal","1 mA","other","supraorbital","offline",2.30325806106564,0.542278349053642,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",37,-0.343154658593088,0.0507359694982134,"from_dataset",37,37,"sham","within","not reported","SST","healthy","anodal","1 mA","other central","supraorbital","offline",4.43958134879393,0.343154658593088,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",38,-1.0264025032568,0.0565843881168239,"from_dataset",38,38,"sham","within","not reported","SST","healthy","anodal","1 mA","preSMA","supraorbital","offline",4.20389333350482,1.0264025032568,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",39,-0.0462843134032874,0.0714476985506001,"from_dataset",39,39,"sham","within","not reported","GNG","healthy","anodal","1 mA","other","xtc","online",3.7411565174017,0.0462843134032874,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",40,0.0226844597622377,0.0714331659349527,"from_dataset",40,40,"sham","within","not reported","GNG","healthy","cathodal","1 mA","other","xtc","online",3.74153705509781,0.0226844597622377,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",41,-0.0556041358475999,0.125048309686302,"from_dataset",41,41,"sham","within","not reported","GNG","healthy","anodal","1 mA","rIFG","other brain area","offline",2.82788072141203,0.0556041358475999,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",42,0.059164296633862,0.12505469396869,"from_dataset",42,42,"sham","within","not reported","GNG","healthy","anodal","1 mA","rIFG","other brain area","offline",2.82780853611878,0.059164296633862,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",43,-0.559386492624349,0.0865928463346934,"from_dataset",43,43,"sham","within","success","SST","healthy","anodal","2 mA","rIFG","xtc","online",3.39827869187602,0.559386492624349,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",44,-0.488464120457962,0.0858187208018205,"from_dataset",44,44,"sham","within","success","SST","healthy","cathodal","2 mA","rIFG","xtc","online",3.41357132475691,0.488464120457962,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",45,-0.319127721377987,0.112525590313221,"from_dataset",45,45,"no tDCS","within","not reported","SST","healthy","anodal","1.5 mA","preSMA","l cheek","offline",2.98108493640186,0.319127721377987,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",46,-0.369000936016229,0.0847516842789672,"from_dataset",46,46,"sham","within","success","SST","healthy","anodal","1.5 mA","F3","supraorbital","offline",3.4349928003717,0.369000936016229,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",47,-0.112446307583842,0.133544069534821,"from_dataset",48,47,"sham","within","not reported","GNG","ADHD","anodal","1 mA","F3","other brain area","offline",2.73645113138592,0.112446307583842,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",48,-0.594214287374098,0.208827265482988,"from_dataset",49,48,"sham","within","not reported","GNG","ADHD","anodal","1 mA","F3","other brain area","offline",2.18829767638473,0.594214287374098,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",49,-1.04696578821991,0.227403434042573,"from_dataset",50,49,"sham","within","not reported","GNG","ADHD","cathodal","1 mA","other frontal","other brain area","offline",2.0970147761532,1.04696578821991,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",50,-0.711956923702665,0.0886133610542517,"from_dataset",51,50,"sham","within","not reported","GNG","healthy","anodal","1.5 mA","F3","other brain area","online",3.35931241750592,0.711956923702665,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",51,-0.333933889359902,0.0844949150256566,"from_dataset",52,51,"sham","within","not reported","GNG","healthy","cathodal","1.5 mA","other frontal","other brain area","online",3.44020809339065,0.333933889359902,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",52,-0.358813336847344,0.0495655305530459,"from_dataset",53,52,"sham","within","not reported","GNG","healthy","cathodal","1 mA","F3","supraorbital","online",4.49169356983922,0.358813336847344,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",53,0.182642413937983,0.0393792071145544,"from_dataset",54,53,"sham","within","not reported","GNG","other patients","anodal","1.5 mA","F4","xtc","offline",5.03925709833761,0.182642413937983,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",54,0.147444386058797,0.039322254151864,"from_dataset",55,54,"sham","within","not reported","GNG","other patients","cathodal","1.5 mA","F4","xtc","offline",5.04290511880971,0.147444386058797,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",55,-0.367170704994156,0.135580238776765,"from_dataset",56,55,"sham","between-subjects","success","SST","healthy","anodal","1.5 mA","other frontal","other brain area","offline",2.71582513113196,0.367170704994156,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",56,-0.100466788176242,0.133501559592107,"from_dataset",57,56,"sham","between-subjects","success","SST","healthy","cathodal","1.5 mA","other frontal","other brain area","offline",2.73688677094855,0.100466788176242,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",57,0.199889471243635,0.0436954119604025,"from_dataset",58,57,"sham","within","not reported","GNG","healthy","anodal","1 mA","F3","supraorbital","online",4.78389986848388,0.199889471243635,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",58,-0.191667335602353,0.200918409188423,"from_dataset",47,58,"sham","between-subjects","success","GNG","healthy","anodal","1.5 mA","other central","supraorbital","offline",2.23095152855737,0.191667335602353,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",59,0.0969916857643341,0.125146990423553,"from_dataset",61,59,"sham","within","success","GNG","healthy","anodal","1.5 mA","rIFG","supraorbital","offline",2.82676558318264,0.0969916857643341,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",60,0.173660227456067,0.0233560665085148,"from_dataset",63,60,"sham","between-subjects","success","GNG","healthy","anodal","2 mA","F4","other brain area","offline",6.54334995906703,0.173660227456067,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",61,-0.150643298802487,0.100283667543426,"from_dataset",64,61,"no tDCS","within","no blinding","GNG","healthy","anodal","1.5 mA","rIFG","other brain area","online",3.15780200223489,0.150643298802487,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",62,0.0477595732641041,0.0571591498345598,"from_dataset",65,62,"sham","within","success","GNG","other patients","anodal","1 mA","F3","supraorbital","online",4.18270388450059,0.0477595732641041,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",63,-0.0530602434006473,0.100035192367872,"from_dataset",66,63,"sham","within","not reported","GNG","ADHD","anodal","1.5 mA","F3","supraorbital","online",3.16172136680003,0.0530602434006473,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",64,-0.730270496379012,0.106666187473521,"from_dataset",67,64,"sham","within","not reported","GNG","ADHD","cathodal","1.5 mA","F3","supraorbital","online",3.06186905611169,0.730270496379012,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",65,0.00498469494076079,0.0785716544549163,"from_dataset",68,65,"sham","between-subjects","not reported","SST","healthy","anodal","1.5 mA","F4","supraorbital","offline",3.56752521196228,0.00498469494076079,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",66,-0.0856213064344079,0.0786380740997516,"from_dataset",69,66,"sham","between-subjects","not reported","SST","healthy","cathodal","1.5 mA","F4","supraorbital","offline",3.56601828408026,0.0856213064344079,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",67,-0.600814563554309,0.0818530480239645,"from_dataset",70,67,"sham","between-subjects","not reported","SST","healthy","anodal","1.5 mA","rIFG","supraorbital","offline",3.49528482849151,0.600814563554309,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",68,-0.430763987605099,0.0802583159624963,"from_dataset",71,68,"sham","between-subjects","not reported","SST","healthy","cathodal","1.5 mA","rIFG","supraorbital","offline",3.52983966177436,0.430763987605099,"CRAN",NA,NA,"CRAN"
"psymetadata_schroeder2020","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",69,0.0262640049616471,0.0833405187287148,"from_dataset",72,69,"sham","between-subjects","not reported","SST","healthy","anodal","1.5 mA","rIFG","supraorbital","online",3.46395227915655,0.0262640049616471,"CRAN",NA,NA,"CRAN"
