"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","study_id","group_id","es_id","pub_year","instructions","stimuli","valence","tnttime","repetitions","dv","cluster","group","precision","abs_yi","source","repo","branch","repo_license"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",1,-0.448608427072053,0.061145820023335,"from_dataset","1","1","1",2015,"direct","pictures","negative",3,10,"Identification","anxiety","CP",4.04405090010145,0.448608427072053,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",2,0.0826966639760002,0.0557455205064655,"from_dataset","1","1","2",2015,"direct","pictures","negative",3,10,"Gist","anxiety","CP",4.23540565899634,0.0826966639760002,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",3,-0.0690160281522009,0.0556878670039418,"from_dataset","1","1","3",2015,"direct","pictures","negative",3,10,"Details","anxiety","CP",4.23759754401013,0.0690160281522009,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",4,0.251957336053256,0.0573189583108626,"from_dataset","1","2","4",2015,"direct","pictures","negative",3,10,"Identification","control","HC",4.17686900795094,0.251957336053256,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",5,0.701534665373885,0.0692264135200347,"from_dataset","1","2","5",2015,"direct","pictures","negative",3,10,"Gist","control","HC",3.80070431442864,0.701534665373885,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",6,0.680050735427992,0.0684019167432265,"from_dataset","1","2","6",2015,"direct","pictures","negative",3,10,"Details","control","HC",3.8235419921638,0.680050735427992,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",7,0.727909935359562,0.0790579023123488,"from_dataset","2","3","8",2010,"unspecified","pictures","negative",3.5,12,"Recall Acc","control","HC",3.55653720818995,0.727909935359562,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",8,0.0475993974655667,0.0625708032074714,"from_dataset","2","4","7",2010,"unspecified","pictures","negative",3.5,12,"Recall Acc","mixed","CP",3.99773622057357,0.0475993974655667,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",9,-0.444812627992152,0.0305258093614067,"from_dataset","3","5","9",2014,"unspecified","pictures","negative",4,12,"Recall Acc","anxiety","CP",5.72356219153944,0.444812627992152,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",10,0.0967407563259303,0.0287051253419216,"from_dataset","3","6","10",2014,"unspecified","pictures","negative",4,12,"Recall Acc","control","HC",5.90228635952452,0.0967407563259303,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",11,-0.418237963535086,0.108746149707099,"from_dataset","4","7","11",2017,"unspecified","words","negative",4,8,"Recall Acc","anxiety","CP",3.03244585665172,0.418237963535086,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",12,-0.457686612410802,0.110473851759004,"from_dataset","4","8","12",2017,"unspecified","words","negative",4,8,"Recall Acc","control","HC",3.0086401848282,0.457686612410802,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",13,0.748780714425303,0.0533473449644847,"from_dataset","5","9","14",2015,"direct","words","negative",3,12,"Recall Acc","control","HC",4.32955832963632,0.748780714425303,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",14,0.27129577944116,0.0432000291654705,"from_dataset","5","10","13",2015,"direct","words","negative",3,12,"Recall Acc","depression","CP",4.81125061914544,0.27129577944116,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",15,-0.362298087477918,0.0343751597450025,"from_dataset","6","11","17",2003,"unspecified","words","neutral",3,8,"Recall Acc","control","HC",5.39358636737914,0.362298087477918,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",16,-0.22742192106083,0.0330922698415968,"from_dataset","6","11","18",2003,"unspecified","words","neutral",3,16,"Recall Acc","control","HC",5.49713903640489,0.22742192106083,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",17,-0.18607002352134,0.0328164847363425,"from_dataset","6","12","15",2003,"unspecified","words","neutral",3,8,"Recall Acc","depression","CP",5.52018930016892,0.18607002352134,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",18,-0.0153295525740407,0.0322618547610019,"from_dataset","6","12","16",2003,"unspecified","words","neutral",3,16,"Recall Acc","depression","CP",5.56743729220214,0.0153295525740407,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",19,0.189281480600418,0.0565507633027302,"from_dataset","7","13","21",2008,"unspecified","words","neutral",3,12,"Recall Acc","control","HC",4.2051429552387,0.189281480600418,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",20,0.171766651155949,0.0563751050680369,"from_dataset","7","14","22",2008,"unspecified","words","neutral",3,12,"Recall Acc","control","HC",4.21168922669302,0.171766651155949,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",21,-0.0820536085753948,0.0557425776300068,"from_dataset","7","15","19",2008,"unspecified","words","neutral",3,12,"Recall Acc","depression","CP",4.2355174596309,0.0820536085753948,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",22,-0.0798648517641121,0.0557327331818695,"from_dataset","7","16","20",2008,"unspecified","words","neutral",3,12,"Recall Acc","depression","CP",4.23589151710549,0.0798648517641121,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",23,0.671042085297289,0.0680638188955593,"from_dataset","8","17","25",2010,"aided","words","negative",3,12,"Recall Acc","control","HC",3.83302669304234,0.671042085297289,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",24,0.384046711485961,0.0596525521278661,"from_dataset","8","17","29",2010,"aided","words","negative",3,12,"Recall Acc","control","HC",4.09435490752142,0.384046711485961,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",25,0.268314058277924,0.0575553453852658,"from_dataset","8","18","26",2010,"unspecified","words","negative",3,12,"Recall Acc","control","HC",4.16828271829832,0.268314058277924,"CRAN",NA,NA,"CRAN"
"psymetadata_stramaccia2021","psymetadata","stramaccia2021","Studies on memory suppression and its deficiency in psychological disorders",26,0.516558474897713,0.0629675738330181,"from_dataset","8","18","30",2010,"unspecified","words","negative",3,12,"Recall Acc","control","HC",3.98512106947356,0.516558474897713,"CRAN",NA,NA,"CRAN"
