"id","package","object","title","meta_analysis_ready","metareg_ready"
"metadat_dat.assink2016","metadat","dat.assink2016","dat.assink2016",TRUE,TRUE
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","dat.bangertdrowns2004",TRUE,TRUE
"metadat_dat.bcg","metadat","dat.bcg","dat.bcg",TRUE,FALSE
"metadat_dat.begg1989","metadat","dat.begg1989","dat.begg1989",TRUE,TRUE
"metadat_dat.berkey1998","metadat","dat.berkey1998","dat.berkey1998",TRUE,TRUE
"metadat_dat.colditz1994","metadat","dat.colditz1994","dat.colditz1994",TRUE,FALSE
"metadat_dat.curtis1998","metadat","dat.curtis1998","dat.curtis1998",TRUE,FALSE
"metadat_dat.gibson2002","metadat","dat.gibson2002","dat.gibson2002",TRUE,FALSE
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","dat.hackshaw1998",TRUE,TRUE
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","dat.kalaian1996",TRUE,TRUE
"metadat_dat.knapp2017","metadat","dat.knapp2017","dat.knapp2017",TRUE,TRUE
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","dat.konstantopoulos2011",TRUE,TRUE
"metadat_dat.lehmann2018","metadat","dat.lehmann2018","dat.lehmann2018",TRUE,TRUE
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","dat.mccurdy2020",TRUE,TRUE
"metadat_dat.michael2013","metadat","dat.michael2013","dat.michael2013",TRUE,TRUE
"metadat_dat.normand1999","metadat","dat.normand1999","dat.normand1999",TRUE,FALSE
"metadat_dat.raudenbush1985","metadat","dat.raudenbush1985","dat.raudenbush1985",TRUE,TRUE
"metadat_dat.riley2003","metadat","dat.riley2003","dat.riley2003",TRUE,TRUE
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","dat.tannersmith2016",TRUE,TRUE
